"Date","SINTEX.NS.Open","SINTEX.NS.High","SINTEX.NS.Low","SINTEX.NS.Close","SINTEX.NS.Volume","SINTEX.NS.Adjusted"
2007-11-13,237.804001,240.703003,225.889008,231.539001,386286,208.885345
2007-11-14,221.098007,242.692001,221.098007,230.850998,731337,208.264633
2007-11-15,234.707993,236.820999,231.416,233.087006,129379,210.281876
2007-11-16,230.876007,235.347,228.468002,230.753006,312061,208.176239
2007-11-19,233.382004,234.684006,218.641998,219.132996,72192,197.69313
2007-11-20,225.029007,225.029007,213.729004,220.509003,128028,198.934525
2007-11-21,228.173996,228.173996,210.313995,220.755005,618430,199.156418
2007-11-22,202.059006,223.259995,202.059006,206.505997,113862,186.301559
2007-11-23,216.184998,216.677002,207.931,211.886002,91324,191.155182
2007-11-26,218.151001,222.080994,208.839996,218.690994,202815,197.294357
2007-11-27,211.763,216.184998,207.095993,208.815002,169220,188.384644
2007-11-28,214.171005,226.994003,199.382004,221.270004,562565,199.621048
2007-11-29,233.210007,235.837997,223.063995,227.363007,381607,205.11792
2007-11-30,227.485992,230.925003,221.098007,224.145004,94798,202.214752
2007-12-03,224.537994,232.889999,217.167999,220.755005,269910,199.156418
2007-12-04,222.031998,234.339996,222.031998,223.604004,195209,201.726685
2007-12-05,226.011993,227.485992,216.184998,223.235992,398126,201.394699
2007-12-06,224.046005,227.830002,219.625,222.621994,320412,200.840775
2007-12-07,223.063995,225.766006,214.220001,216.356995,312533,195.188721
2007-12-10,221.098007,226.503006,219.625,224.488998,900372,202.525101
2007-12-11,226.503006,229.451004,225.520004,228.591003,109586,206.225784
2007-12-12,226.994003,273.178986,226.011993,246.352997,1850335,222.249924
2007-12-13,250.578003,271.140015,246.647995,260.18399,656223,234.727707
2007-12-14,261.388,267.283997,238.983002,256.794006,648232,231.669403
2007-12-17,255.492004,266.300995,240.751999,242.716995,108518,218.969666
2007-12-18,255.492004,255.492004,238.785995,244.755997,111043,220.809189
2007-12-19,254.263,254.263,238.785995,242.054001,439851,218.371536
2007-12-20,236.108994,252.544006,201.272995,245.787994,163355,221.740204
2007-12-24,246.451004,277.601013,245.910995,270.625,592610,244.147202
2007-12-26,276.127014,284.971008,265.317993,276.765991,744036,249.687393
2007-12-27,281.532013,281.998993,269.248993,275.612,184499,248.646225
2007-12-28,263.843994,279.566986,263.843994,277.674988,95526,250.50737
2007-12-31,293.520996,293.520996,275.144989,280.721008,222919,253.255432
2008-01-01,287.428009,287.428009,270.722992,275.906006,54853,248.911499
2008-01-02,275.783997,279.075012,269.494995,275.612,60593,248.646225
2008-01-03,273.178986,304.625,270.231995,281.752991,121985,254.186447
2008-01-04,288.411011,304.084015,275.144989,279.272003,117518,251.948135
2008-01-07,276.127014,280.058014,270.231995,274.628998,313759,247.75943
2008-01-08,279.444,282.515015,275.144989,280.058014,161452,252.657272
2008-01-09,279.075012,282.02301,264.654999,274.72699,427192,247.847855
2008-01-10,277.601013,282.48999,267.774994,273.007996,661095,246.296997
2008-01-11,277.109985,277.109985,270.231995,275.119995,166849,248.202362
2008-01-14,289.639008,291.334015,270.231995,272.492004,666021,245.831512
2008-01-15,275.734009,280.058014,262.369995,265.661987,350019,239.669754
2008-01-16,267.087006,268.561005,255.492004,258.881989,503006,233.553116
2008-01-17,262.615997,262.665009,251.561005,253.526001,678172,228.72113
2008-01-18,250.677002,255.492004,239.278,250.701004,646842,226.172531
2008-01-21,250.578003,253.035004,230.434006,243.380005,925887,219.567795
2008-01-22,221.492004,262.862,196.065002,257.947998,648937,232.71051
2008-01-23,216.75,246.156006,216.184998,229.033005,259815,206.624527
2008-01-24,246.156006,246.156006,225.520004,228.320999,432166,205.982178
2008-01-25,228.468002,246.647995,228.468002,240.210999,517361,216.708862
2008-01-28,241.292007,254.975998,229.451004,241.955002,1459398,218.282242
2008-01-29,248.587997,248.587997,238.785995,243.576996,822453,219.745544
2008-01-30,243.207993,264.237,235.912003,239.253006,413095,215.844604
2008-01-31,244.190994,255.516006,231.490005,237.755005,401518,214.493179
2008-02-01,254.509003,254.509003,232.399002,234.119003,193355,211.212906
2008-02-04,235.837997,242.914001,229.942001,231.613007,306686,208.952087
2008-02-05,233.873001,235.837997,230.998993,233.233994,374276,210.414474
2008-02-06,229.697006,232.865997,226.552002,227.388,68889,205.140488
2008-02-07,226.994003,230.654999,226.085007,226.699997,30715,204.519775
2008-02-08,232.399002,233.382004,218.641998,224.636002,232697,202.65773
2008-02-11,222.080994,225.177002,212.746002,216.996002,124055,195.765213
2008-02-12,215.203003,224.931,215.203003,218.593002,179366,197.205948
2008-02-13,219.746994,223.014999,211.296005,214.514999,175155,193.526932
2008-02-14,221.098007,230.139008,216.554001,220.876999,228962,199.266495
2008-02-15,223.063995,227.240005,218.641998,221.516006,109515,199.842987
2008-02-18,221.098007,224.537994,211.395004,217.807007,113187,196.496872
2008-02-19,223.554993,225.914001,214.735992,216.110992,307252,194.966797
2008-02-20,218.641998,219.035004,214.294006,216.160995,180003,195.011902
2008-02-21,217.216995,237.018005,217.119003,228.886002,1259447,206.491898
2008-02-22,228.468002,233.087006,226.011993,228.197998,113176,205.871231
2008-02-25,228.910995,228.910995,220.360992,226.061005,644927,203.943314
2008-02-26,233.382004,233.382004,222.572006,230.212997,115499,207.689072
2008-02-27,237.311996,239.720001,228.910995,234.658997,265636,211.700073
2008-02-28,235.298004,235.298004,229.917999,231.171005,47475,208.553345
2008-02-29,230.925003,234.658997,227.977005,230.113998,16551,207.599731
2008-03-03,219.132996,224.931,216.725998,221.123001,224580,199.488419
2008-03-04,219.182007,219.625,208.815002,210.927994,164181,190.290894
2008-03-05,211.272003,214.710999,189.751999,198.276001,1502847,178.876785
2008-03-07,202.059006,202.059006,181.889999,191.742004,931244,172.98204
2008-03-10,191.619003,203.876999,169.557999,195.647995,1126563,176.50589
2008-03-11,182.848007,202.378998,182.848007,189.824997,454538,171.252609
2008-03-12,201.175003,201.175003,181.792007,184.518997,1043254,166.465759
2008-03-13,182.283005,183.020004,171.964996,173.610992,317976,156.624985
2008-03-14,173.438995,177.320999,168.158005,174.348007,1183394,157.289886
2008-03-17,167.052002,171.473999,147.988998,164.153,227804,148.092346
2008-03-18,164.104004,164.595993,149.363998,154.376007,1059459,139.271912
2008-03-19,159.682007,169.951004,159.190994,165.798996,877714,149.577301
2008-03-24,168.526001,178.843994,163.121994,173.169006,274416,156.226242
2008-03-25,170.613998,174.397995,167.100998,170.270004,952112,153.610855
2008-03-26,170.492004,183.658997,170.492004,177.246994,452213,159.905228
2008-03-27,172.063995,181.300995,171.964996,173.759003,403517,156.758499
2008-03-28,178.352997,178.843994,176.141998,177.860992,228832,160.459183
2008-03-31,176.878998,181.300995,172.580002,174.544998,302129,157.467606
2008-04-01,174.470993,177.074997,167.544006,174.005005,27556,156.980423
2008-04-02,180.268997,180.317993,169.509003,171.425003,19887,154.652863
2008-04-03,172.457001,175.307007,163.662003,170.983002,693080,154.254089
2008-04-04,168.108994,171.964996,166.070007,171.350998,593440,154.586105
2008-04-07,170,187.197006,169.632004,181.817001,1569839,164.028122
2008-04-08,182.774994,213.237,178.009003,198.940002,1242192,179.4758
2008-04-09,201.445007,208.25,198.496994,206.309006,862988,186.12384
2008-04-10,206.334,206.334,196.606003,200.757004,250447,181.115021
2008-04-11,204.393005,206.751999,201.445007,203.311996,348930,183.420029
2008-04-15,203.901993,218.641998,194.886002,203.927002,463530,183.974884
2008-04-16,206.358994,218.151001,206.358994,212.033005,268567,191.287781
2008-04-17,212.033005,217.438004,208.839996,210.337997,276472,189.758636
2008-04-21,209.307007,216.626999,209.307007,212.966995,232282,192.130402
2008-04-22,214.710999,216.677002,210.781006,213.703995,470910,192.795319
2008-04-23,212.255005,218.641998,212.255005,215.423996,79002,194.347
2008-04-24,217.167999,218.151001,209.576996,214.613007,108854,193.615372
2008-04-25,212.401993,227.977005,211.811996,214.072006,198349,193.127304
2008-04-28,214.710999,224.587006,210.289001,213.041,138361,192.197189
2008-04-29,217.856003,223.285004,205.473999,216.406006,259255,195.232941
2008-04-30,219.132996,232.889999,217.216995,227.166,438471,204.940186
2008-05-02,225.126999,238.294998,222.253006,232.694,594385,209.927338
2008-05-05,234.363998,255,229.942001,240.703003,498624,217.15274
2008-05-06,235.960999,240.186996,234.363998,235.863007,117001,212.78627
2008-05-07,235.837997,235.888,224.169006,226.233002,70796,204.098465
2008-05-08,221.147995,227.388,212.746002,214.343002,214404,193.371765
2008-05-09,216.184998,220.606995,213.925003,218.764999,256353,197.36113
2008-05-12,198.988998,218.641998,198.988998,216.921997,111471,195.698425
2008-05-13,220.804001,223.554993,216.184998,217.658997,48359,196.363327
2008-05-14,218.445007,228.468002,218.445007,221.074005,854568,199.444229
2008-05-15,227.878998,227.927994,216.184998,216.873001,326306,195.654251
2008-05-16,222.350998,224.046005,217.167999,221.098007,65026,199.465866
2008-05-20,222.080994,224.046005,215.373993,216.677002,88615,195.477417
2008-05-21,213.729004,219.108994,209.798004,211.591003,60440,190.889038
2008-05-22,213.630005,213.630005,203.951004,205.106003,52584,185.038528
2008-05-23,202.919006,209.307007,202.919006,206.259995,44785,186.079605
2008-05-26,201.494003,201.494003,194.591003,196.434006,614469,177.215012
2008-05-27,196.041,200.462997,188.671005,189.899002,365972,171.319366
2008-05-28,193.067993,193.067993,182.332993,187.147995,344198,168.837509
2008-05-29,189.162003,197.466003,186.729996,192.404999,455291,173.580185
2008-05-30,196.531998,210.485992,194.074997,204.957993,168650,184.904984
2008-06-02,210.044006,210.044006,189.899002,197.121994,156363,177.835648
2008-06-03,191.742004,206.800995,186.779007,204.246002,146543,184.262665
2008-06-04,204.884995,208.815002,193.190994,198.865997,51161,179.409042
2008-06-05,192.110001,202.968002,192.110001,196.285995,882083,177.081451
2008-06-06,200.315002,200.315002,189.653,191.25,182735,172.538193
2008-06-09,193.584,193.584,179.850998,181.938995,127802,164.138153
2008-06-10,181.792007,189.014999,179.457993,181.964005,616421,164.160721
2008-06-11,184.248993,187.639008,178.475998,180.636993,56097,162.963531
2008-06-12,177.860992,184.248993,176.878998,182.356995,84790,164.515259
2008-06-13,186.164993,213.729004,180.809006,202.723007,144408,182.888687
2008-06-16,198.080002,202.281006,188.720001,190.341003,385938,171.718094
2008-06-17,196.531998,206.358994,187.074005,188.843002,169766,170.366699
2008-06-18,191.619003,197.022995,187.737,189.063995,100971,170.566055
2008-06-19,192.871994,200.438004,176.927994,188.253006,468911,169.834427
2008-06-20,194.074997,194.074997,174.421997,177.074997,247951,159.750061
2008-06-23,177.123993,178.229996,171.007004,175.011993,181729,157.888916
2008-06-24,178.942001,189.162003,175.035995,180.121994,571650,162.498962
2008-06-25,176.289001,180.121994,167.149994,172.162003,234685,155.317749
