"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2014-06-10,186.449,187.31,178.825,95.688904,11250639,50.626171
2014-06-11,181.429,187.373,178.762,95.077797,9288472,50.30286
2014-06-12,179.77,183.635,178.552,95.222198,4343080,50.379257
2014-06-13,177.67,178.426,162.591,87.388901,13776080,46.234894
2014-06-16,163.389,172.168,160.029,90.611099,10613984,47.939655
2014-06-17,170.992,178.93,168.22,94.033302,7780298,49.75024
2014-06-18,176.83,181.408,167.295,89.366699,12021264,47.281281
2014-06-19,169.06,172,161.436,86.488899,10308447,45.758724
2014-06-20,161.751,166.959,161.31,86.222198,6306872,45.617619
2014-06-23,163.053,166.224,158.601,86.900002,7922084,45.976227
2014-06-24,166.707,177.922,165.909,93.177803,12257910,49.297623
2014-06-25,178.048,178.048,171.412,92.511101,7113735,48.944893
2014-06-26,167.632,170.74,165.3,88.522202,17394584,46.834476
2014-06-27,168.388,170.908,166.119,88.266701,5806300,46.699299
2014-06-30,167.674,175.99,167.674,92.488899,6822590,48.93314
2014-07-01,178.51,178.72,172.21,91.811096,10241010,48.574539
2014-07-02,175.738,176.368,172.672,92.711098,9473472,49.050705
2014-07-03,177.124,178.09,173.47,92.088898,4778716,48.721519
2014-07-04,174.373,178.51,172.651,93.655602,7628166,49.550415
2014-07-07,176.326,176.326,170.971,90.7556,5386766,48.016109
2014-07-08,173.029,174.184,160.827,85.900002,7559510,45.447155
2014-07-09,165.069,170.551,162.339,88.577797,9311926,46.863892
2014-07-10,167.925,172.63,160.239,88.022202,12519986,46.569946
2014-07-11,166.539,167.169,156.501,83.7556,10115338,44.312614
2014-07-14,161.667,165.321,159.693,85.977798,9024322,45.488312
2014-07-15,164.229,169.165,162.801,89.111099,6477435,47.146053
2014-07-16,169.27,171.958,168.661,90.233299,5376042,47.739773
2014-07-17,169.921,172.777,167.821,90.722198,2796962,47.99844
2014-07-18,168.073,169.816,165.321,87.8778,6116769,46.493546
2014-07-21,166.959,167.925,163.011,86.577797,3629812,45.805756
2014-07-22,165.447,166.119,161.793,85.966698,4544104,45.482441
2014-07-23,163.41,168.178,162.696,87.811096,6854193,46.45826
2014-07-24,167.169,167.968,163.914,87.400002,3735432,46.240761
2014-07-25,163.809,166.581,160.449,85.433296,4484043,45.200233
2014-07-28,161.478,163.473,159.189,85.177803,4735287,45.065063
2014-07-30,160.029,164.964,160.029,86.511101,5730250,45.770466
2014-07-31,165.069,170.32,164.733,88.733299,23123578,46.946171
2014-08-01,168.346,172.21,167.127,89.466698,9648261,47.334187
2014-08-04,170.194,179.35,170.194,94.044403,13277196,49.756111
2014-08-05,179.35,179.518,173.428,92.433296,14101875,48.903728
2014-08-06,175.171,177.229,169.27,89.811096,9551434,47.516396
2014-08-07,170.95,177.46,170.74,92.900002,10001547,49.15065
2014-08-08,171.895,172.21,165.069,88.566704,9344858,46.858025
2014-08-11,170.131,172.21,169.774,90.911102,3936411,48.098385
2014-08-12,138.145,141.455,135.584,89.988899,8217140,57.39632
2014-08-13,141.943,145.984,141.734,92.2556,16468371,58.842068
2014-08-14,144.591,145.131,142.692,92.066704,4736934,58.721581
2014-08-18,144.765,155.043,144.765,97.911102,12753891,62.44923
2014-08-19,156.576,160.617,155.496,100.356003,16587616,64.008629
2014-08-20,159.049,162.011,155.409,99.533302,13515160,63.483894
2014-08-21,156.123,164.242,155.932,103.877998,12437127,66.255013
2014-08-22,164.693,165.095,159.259,101.856003,14597950,64.965347
2014-08-25,161.106,162.36,157.831,101.056,7359660,64.455101
2014-08-26,158.544,160.06,152.151,99.366699,10582767,63.377636
2014-08-27,157.273,159.747,156.141,100.800003,6763738,64.291809
2014-08-28,159.624,161.976,158.37,101.778,12968824,64.915604
2014-09-01,160.582,163.144,158.422,103.667,9283496,66.120438
2014-09-02,162.36,164.938,160.303,104.710999,9155781,66.786308
2014-09-03,168.997,169.71,165.496,106.022003,14917671,67.62249
2014-09-04,164.816,165.129,162.255,104.133003,5148198,66.417648
2014-09-05,164.607,168.98,164.102,105.5,8742780,67.289551
2014-09-08,168.806,174.764,166.192,110.210999,14074726,70.294304
2014-09-09,174.519,175.425,170.722,109.856003,13060976,70.067871
2014-09-10,171.418,173.335,168.091,107.821999,7025373,68.770554
2014-09-11,170.722,175.077,169.433,110.900002,10728252,70.733757
2014-09-12,173.265,176.226,171.435,109.667,7422255,69.947334
2014-09-15,172.464,174.903,171.401,110.766998,6214113,70.648926
2014-09-16,174.45,174.45,162.934,104.244003,9625311,66.488457
2014-09-17,165.46,167.064,160.582,105.133003,8383756,67.055466
2014-09-18,164.242,170.722,163.074,108.244003,7062525,69.039719
2014-09-19,171.383,171.383,165.861,106.099998,5056762,67.672241
2014-09-22,166.158,168.945,165.2,107.344002,5222354,68.465675
2014-09-23,167.882,169.362,164.693,105.522003,4517505,67.303589
2014-09-24,165.217,167.691,159.712,106.444,5448838,67.891647
2014-09-25,165.531,168.909,158.074,101.988998,7655854,65.050179
2014-09-26,158.527,166.888,156.837,105.456001,5677083,67.261482
2014-09-29,164.137,168.196,162.168,104.344002,5397822,66.552231
2014-09-30,161.976,169.641,161.036,107.143997,8351726,68.33812
2014-10-01,170.722,172.011,168.108,108.543999,6667258,69.231056
2014-10-07,172.429,172.794,168.074,107.789001,9513958,68.749512
2014-10-08,170.374,179.223,168.735,113.766998,13954896,72.56237
2014-10-09,179.781,181.523,176.68,113.710999,10176026,72.526657
2014-10-10,180.234,181.662,176.645,113.022003,10024988,72.087196
2014-10-13,177.341,178.98,173.806,113.032997,8017362,72.0942
2014-10-14,177.638,178.37,172.794,110.588997,6939688,70.535385
2014-10-15,173.387,173.387,173.387,110.588997,0,70.535385
2014-10-16,174.867,180.442,171.07,110.266998,9991426,70.330017
2014-10-17,173.857,175.077,169.85,109.266998,7745508,69.692207
2014-10-20,185.389,186.366,179.92,117.333,35202231,74.836815
2014-10-21,183.961,183.961,179.884,115.356003,9502299,73.575859
2014-10-22,182.045,183.613,180.007,116.155998,7064140,74.086113
2014-10-27,183.926,184.536,178.404,114.633003,6121526,73.114731
2014-10-28,179.955,182.846,178.177,115.143997,6567440,73.440636
2014-10-29,181.976,183.857,180.234,115.522003,7346930,73.68174
2014-10-30,181.175,182.567,179.031,116.032997,7464010,74.007652
2014-10-31,182.219,186.819,181.244,117.866997,8611092,75.177406
2014-11-03,186.052,189.171,184.745,119,5505408,75.90007
2014-11-05,189.188,192.324,188.438,121.400002,9638266,77.430817
2014-11-07,190.337,202.863,190.232,126.921997,15840482,80.952827
2014-11-10,200.302,204.413,198.664,128.589005,12403210,82.016068
2014-11-11,202.949,203.943,199.465,128.343994,9462146,81.859802
2014-11-12,202.427,205.389,200.685,128.589005,7628386,82.016068
2014-11-13,201.347,201.347,187.76,120.511002,17560845,76.8638
2014-11-14,195.11,197.549,191.209,123.366997,19397844,78.685387
2014-11-17,193.891,195.981,187.532,122.189003,7264444,77.934059
2014-11-18,190.442,193.264,186.54,119.400002,5916258,76.15519
2014-11-19,187.794,192.201,185.303,119.178001,7039386,76.013596
2014-11-20,187.724,189.1,183.544,118.622002,3682116,75.658974
2014-11-21,185.529,189.519,185.511,118.789001,4988930,75.76548
2014-11-24,185.494,187.41,182.916,117.556,4260352,74.979057
2014-11-25,183.961,187.027,182.62,117.255997,5533785,74.787712
2014-11-26,184.658,186.192,183.334,117.744003,4294431,75.098969
2014-11-27,184.484,192.324,184.484,121.678001,13835372,77.608139
2014-11-28,196.504,218.733,196.155,132.567001,38625885,84.553299
2014-12-01,214.308,214.97,208.698,134.121994,17399538,85.545105
2014-12-02,207.304,208.472,201.4,131.699997,11656544,84.000313
2014-12-03,206.19,207.549,200.947,128.733002,7885246,82.107918
2014-12-04,202.079,205.214,200.023,129.544006,4755861,82.625198
2014-12-05,204.169,204.727,196.4,126.633003,2611980,80.768509
2014-12-08,199.97,202.758,196.991,126.222,5676260,80.506355
2014-12-09,199.639,206.956,198.978,129.455994,17991864,82.569054
2014-12-10,204.134,204.727,199.518,127.622002,5982993,81.399307
2014-12-11,202.062,204.727,197.689,126.800003,7706966,80.875023
2014-12-12,200.511,201.731,194.414,124.932999,5908923,79.684219
2014-12-15,195.651,198.559,187.532,120.278,6541767,76.715195
2014-12-16,188.49,196.905,187.777,122.511002,12625340,78.13942
