"Date","TATAMTRDVR.NS.Open","TATAMTRDVR.NS.High","TATAMTRDVR.NS.Low","TATAMTRDVR.NS.Close","TATAMTRDVR.NS.Volume","TATAMTRDVR.NS.Adjusted"
2010-05-19,156.722,156.722,143.211,100.769997,1515290,69.661125
2010-05-20,147.551,149.402,142.488,101.660004,459905,70.276375
2010-05-21,146.104,146.668,138.871,96.709999,2656815,66.854507
2010-05-24,143.211,147.507,138.871,96.769997,270970,66.895981
2010-05-25,138.871,138.871,130.278,93.849998,2458950,64.877411
2010-05-26,141.186,143.5,135.978,98.400002,287380,68.022774
2010-05-27,144.079,150.444,143.211,101.209999,892425,69.965294
2010-05-28,150.415,154.494,148.129,102.860001,791500,71.105927
2010-05-31,148.997,150.357,146.972,103.040001,794090,71.230362
2010-06-01,148.997,150.299,143.5,99.790001,518415,68.983665
2010-06-02,147.551,155.073,144.079,101.589996,544760,70.227989
2010-06-03,149.952,151.818,149.952,104.260002,332035,72.07373
2010-06-04,150.733,152.44,148.419,104.330002,237975,72.122116
2010-06-07,147.261,147.261,142.979,99.580002,715495,68.838501
2010-06-08,143.211,150.357,142.864,99.230003,309925,68.59655
2010-06-09,142.632,145.815,141.518,98.440002,236160,68.05043
2010-06-10,144.368,149.865,142.922,102.139999,593110,70.608208
2010-06-11,148.997,150.704,147.608,103.160004,453390,71.313316
2010-06-14,150.444,152.18,147.927,103.379997,320215,71.465393
2010-06-15,149.547,150.878,145.815,102.93,172945,71.15432
2010-06-16,150.444,153.843,149.576,103.879997,721870,71.811043
2010-06-17,150.993,153.8,149.735,105.349998,461495,72.827232
2010-06-18,152.006,154.48,150.588,105.870003,286680,73.186707
2010-06-21,155,155.941,151.89,105.32,432690,72.806488
2010-06-22,153.308,153.308,149.59,104.089996,123150,71.9562
2010-06-23,150.444,152.758,148.592,103.099998,142985,71.271835
2010-06-24,150.444,150.444,148.158,102.709999,122960,71.002228
2010-06-25,148.158,149.576,145.815,101.190002,194510,69.951469
2010-06-28,146.379,152.397,146.379,104.720001,191315,72.391724
2010-06-29,150.444,150.444,146.104,101.82,97305,70.386986
2010-06-30,146.104,146.393,143.558,100.080002,892220,69.184151
2010-07-01,144.802,145.467,142.054,99.239998,720700,68.603462
2010-07-02,144.079,145.786,143.211,99.559998,183420,68.824677
2010-07-05,144.412,145.091,140.621,98.139999,405205,67.84304
2010-07-06,142.632,144.325,142.343,98.760002,235510,68.271645
2010-07-07,143.529,143.529,117.852,97.839996,388920,67.635643
2010-07-08,144.079,144.079,141.229,97.949997,177005,67.711685
2010-07-09,143.167,143.167,141.084,98,1298060,67.746262
2010-07-12,144.6,144.686,142.054,98.739998,848255,68.257813
2010-07-13,143.789,146.393,143.225,100.599998,749310,69.543617
2010-07-14,146.972,151.109,146.683,103.610001,2652475,71.62439
2010-07-15,149.865,156.91,147.985,107.919998,3079075,74.603836
2010-07-16,156.23,161.93,155.651,110.989998,1246615,76.726097
2010-07-19,159.904,163.174,159.904,111.739998,874850,77.244568
2010-07-20,162.016,164.852,161.192,113.190002,1289025,78.246933
2010-07-21,164.331,166.356,163.174,114.440002,1072100,79.111046
2010-07-22,165.199,168.96,162.595,116.410004,809980,80.472878
2010-07-23,168.164,170.117,166.356,115.620003,487095,79.926773
2010-07-26,170.435,176.048,170.435,119.860001,3294410,82.857834
2010-07-27,173.878,177.567,170.696,121.709999,782260,84.136711
2010-07-28,178.869,182.861,175.122,122.120003,579630,84.420135
2010-07-29,175.903,178.218,175.325,122.050003,611095,84.371742
2010-07-30,176.048,177.871,173.907,120.949997,111405,83.611336
2010-08-02,175.035,179.332,175.035,121.550003,196520,84.0261
2010-08-03,177.61,177.61,175.035,121.529999,297410,84.012283
2010-08-04,175.035,176.077,173.661,121.040001,197180,83.673546
2010-08-05,175.325,179.375,175.035,123.230003,657065,85.187469
2010-08-06,179.231,189.328,178.218,129.699997,2151055,89.660103
2010-08-09,176.525,193.841,176.525,133.660004,1683105,92.397606
2010-08-10,167.781,177.731,159.085,137.539993,7077345,107.552177
2010-08-11,175.135,203.588,175.135,148.179993,14325570,115.872353
2010-08-12,189.777,194.764,186.836,151.050003,3747285,118.116615
2010-08-13,190.8,192.795,186.746,147.190002,1147040,115.098206
