"Date","RBLBANK.NS.Open","RBLBANK.NS.High","RBLBANK.NS.Low","RBLBANK.NS.Close","RBLBANK.NS.Volume","RBLBANK.NS.Adjusted"
2017-03-15,478.450012,479.399994,472.350006,476.850006,501574,475.225281
2017-03-16,479.899994,481,477.5,479.149994,1197430,477.517456
2017-03-17,480.950012,496.399994,478,486.649994,2220915,484.991882
2017-03-20,489.299988,499.850006,486.850006,498.25,1577111,496.552368
2017-03-21,499.299988,507,492,501,1965748,499.292999
2017-03-22,495.25,509.950012,495,501,1309900,499.292999
2017-03-23,502.75,504.950012,498.049988,500.100006,763319,498.396088
2017-03-24,500.700012,503.899994,491.700012,492.950012,868783,491.270447
2017-03-27,493.950012,499.799988,491.049988,495.75,643606,494.060883
2017-03-28,499.350006,499.350006,484,486.600006,1285922,484.942078
2017-03-29,489,495.899994,481.299988,485.799988,1081736,484.144775
2017-03-30,485.649994,490,485,486.549988,583494,484.892212
2017-03-31,486.950012,498.399994,482.5,494.549988,1590621,492.86496
2017-04-03,497.899994,510.799988,495.799988,507.399994,1373303,505.671204
2017-04-05,510,546.5,509.149994,533.900024,3388473,532.080933
2017-04-06,533.900024,551,530,547.099976,2339282,545.235901
2017-04-07,542.950012,569.799988,540.099976,555.5,5450168,553.6073
2017-04-10,560.900024,599,560.599976,587.450012,5316206,585.448486
2017-04-11,592,599.400024,567,574.799988,3477562,572.841553
2017-04-12,574.400024,585,562,579.950012,4086616,577.973999
2017-04-13,579.049988,579.5,550.200012,558.650024,2135565,556.746582
2017-04-17,554.25,554.25,527.400024,540.5,2276461,538.658447
2017-04-18,541,564.799988,541,550.950012,3225669,549.072815
2017-04-19,553.799988,580,552.900024,578.200012,4135028,576.22998
2017-04-20,581,584.349976,571.099976,577.400024,1789317,575.432739
2017-04-21,580,584.799988,568,570.200012,1646702,568.257263
2017-04-24,573.950012,579.900024,563,563.900024,1157791,561.978699
2017-04-25,568.599976,573.549988,563.150024,567.849976,1077234,565.915222
2017-04-26,570,572,547.549988,550.700012,1910916,548.823669
2017-04-27,555,561.799988,550.099976,553.400024,1500528,551.514465
2017-04-28,556.849976,568.700012,553.5,564.450012,1471824,562.526855
2017-05-02,570,589.900024,570,585.450012,3904539,583.455261
2017-05-03,577,600.900024,572.549988,589.150024,5715260,587.1427
2017-05-04,591.900024,596,569,571.400024,2111966,569.453186
2017-05-05,575,576,560,561.150024,1269894,559.238098
2017-05-08,565,565.950012,551.599976,555.400024,1002399,553.50769
2017-05-09,557.049988,565.450012,555,559.299988,881861,557.394348
2017-05-10,561.900024,565,557.5,561.950012,594485,560.035339
2017-05-11,564,569,559.950012,561.400024,993610,559.487244
2017-05-12,562.299988,563.5,551.400024,556.549988,706299,554.653748
2017-05-15,557.5,564.900024,551.099976,563.900024,888219,561.978699
2017-05-16,564.799988,567.700012,559,562.599976,495571,560.683105
2017-05-17,563,569.900024,558,564.25,831318,562.327515
2017-05-18,559.799988,563,551,552.150024,1050920,550.268738
2017-05-19,560.950012,567,551.400024,555.450012,1292735,553.557495
2017-05-22,557.5,559.950012,542.599976,544.849976,676006,542.993591
2017-05-23,546,547.400024,502.200012,524.5,1588845,522.712952
2017-05-24,524.950012,539.700012,518.200012,524.349976,1343057,522.563416
2017-05-25,527.799988,549.450012,525.75,545.599976,1052847,543.741028
2017-05-26,549.400024,552.5,505.299988,516.549988,7280565,514.790039
2017-05-29,519,527.900024,504,508.149994,2977390,506.41864
2017-05-30,505.399994,514,495.850006,509.5,1418146,507.764038
2017-05-31,511,537.900024,509.899994,527.700012,3068601,525.902039
2017-06-01,533,554.25,531,550.099976,3657981,548.225708
2017-06-02,552,558,546.049988,550.849976,1634243,548.973145
2017-06-05,552.900024,552.900024,540,542.950012,761989,541.100098
2017-06-06,543.400024,550.799988,537.5,542.799988,1075850,540.950562
2017-06-07,543,552.700012,539.349976,549.450012,1431120,547.577942
2017-06-08,551.700012,551.849976,542.099976,544.650024,1553389,542.794312
2017-06-09,543,543.700012,533.5,537.599976,1196296,535.76825
2017-06-12,536,536.599976,526.299988,527.799988,830261,526.001648
2017-06-13,528,533.650024,514.25,516.349976,1508713,514.590698
2017-06-14,517,524.700012,512.25,518.099976,1540848,516.334717
2017-06-15,518.5,519.150024,510.100006,514,897817,512.248718
2017-06-16,514,520.400024,513,515,1156394,513.2453
2017-06-19,517.900024,518.599976,507.049988,509.350006,1041585,507.614563
2017-06-20,510,515.5,508.450012,509.649994,927004,507.913513
2017-06-21,510.899994,517.849976,505,512.200012,1659522,510.454865
2017-06-22,514.799988,518,509.850006,511.700012,1500000,509.956543
2017-06-23,514,514,501.600006,505.850006,1195150,504.126495
2017-06-27,506,511,492.25,508.950012,1651637,507.215942
2017-06-28,505.75,512.75,502.850006,505.350006,1064791,503.628174
2017-06-29,506.950012,514.650024,500,501.799988,1797714,500.090271
2017-06-30,498.5,509,496.25,507.75,1665573,506.019989
