"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2015-01-05,30.093,30.675,29.899,28.1521,13768061,26.293846
2015-01-06,29.851,29.851,28.639,26.93,7591142,25.152412
2015-01-07,28.785,28.93,28.009,26.522699,4750269,24.771999
2015-01-08,28.979,29.56,28.736,27.382601,4835178,25.57514
2015-01-09,29.657,29.851,28.882,27.201599,4803516,25.406086
2015-01-12,29.076,29.609,28.688,27.3374,3684121,25.532921
2015-01-13,29.705,30.142,29.512,27.744699,7732714,25.913338
2015-01-14,29.948,30.045,29.172,27.6089,2790805,25.786501
2015-01-15,30.529,30.917,29.512,27.790001,9259151,25.955648
2015-01-16,29.56,29.899,28.785,27.0205,5081250,25.23694
2015-01-19,29.076,30.142,28.979,27.6994,6899317,25.871027
2015-01-20,29.802,30.045,28.106,26.522699,12159723,24.771999
2015-01-21,28.397,28.543,27.719,26.024799,5452523,24.306963
2015-01-22,27.767,27.864,26.798,25.2101,6543456,23.54604
2015-01-23,27.234,27.525,26.507,25.3006,8588802,23.630568
2015-01-27,27.379,27.379,26.943,25.2101,3570458,23.54604
2015-01-28,27.04,27.137,26.701,25.0291,3294036,23.376987
2015-01-29,26.798,27.137,26.507,25.2101,2631924,23.54604
2015-01-30,26.653,27.137,26.653,25.0291,4602819,23.376987
2015-02-02,26.895,27.137,26.749,25.2554,3468719,23.58835
2015-02-03,27.137,27.234,26.507,24.893299,2321899,23.250149
2015-02-04,26.701,26.943,26.362,24.667,2497905,23.03879
2015-02-05,26.653,26.798,26.168,24.5312,1985103,22.911953
2015-02-06,26.265,26.41,25.49,23.942801,4305428,22.362392
2015-02-09,25.49,25.49,24.957,23.3997,4312897,21.855141
2015-02-10,24.957,25.247,24.811,23.354401,3596430,21.812832
2015-02-11,25.102,25.344,25.005,23.4902,2366458,21.939667
2015-02-12,25.296,26.168,25.199,24.350201,2279881,22.742901
2015-02-13,26.265,26.362,25.49,23.9881,2875211,22.404701
2015-02-16,26.023,26.119,25.199,23.671301,2847960,22.108814
2015-02-18,25.393,26.798,25.199,24.893299,3508167,23.250149
2015-02-19,25.732,26.749,25.732,24.848,1908185,23.20784
2015-02-20,26.459,26.701,26.023,24.395399,1345931,22.785116
2015-02-23,26.168,26.459,25.877,24.214399,1090250,22.616062
2015-02-24,25.974,25.974,25.441,23.8976,1062431,22.320175
2015-02-25,26.168,27.428,26.168,24.7575,7969332,23.123314
2015-02-26,26.653,26.798,26.023,24.395399,2055992,22.785116
2015-02-27,26.362,26.992,26.071,24.983801,3087369,23.334679
2015-03-02,26.992,27.379,26.653,25.391199,4433794,23.715185
2015-03-03,27.331,27.476,26.556,25.0291,4171327,23.376987
2015-03-04,27.331,27.573,25.78,24.2596,6795238,22.658279
2015-03-05,25.974,26.216,25.78,24.395399,1696695,22.785116
2015-03-09,25.732,26.023,25.49,23.8976,1794537,22.320175
2015-03-10,25.683,25.732,25.15,23.5355,2939566,21.981977
2015-03-11,25.296,25.393,25.005,23.445,2176059,21.897449
2015-03-12,25.296,25.296,24.908,23.3997,2582324,21.855141
2015-03-13,25.296,25.296,24.957,23.354401,2314406,21.812832
