"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2008-04-04,151.237,151.237,148.302994,150.259003,66929,95.149635
2008-04-07,148.339996,151.914001,144.615997,150.634995,72834,95.387711
2008-04-08,150.485001,157.632996,149.731995,155.149994,116946,98.246803
2008-04-09,157.332001,159.514008,153.117996,157.783005,156527,99.914108
2008-04-10,155.826996,159.438995,154.246994,154.360001,94192,97.746529
2008-04-11,155.451004,157.557999,154.246994,154.397003,56325,97.769974
2008-04-15,157.031006,158.384995,152.742004,154.285004,95934,97.699043
2008-04-16,156.429001,157.181,154.397003,155.337997,63710,98.36586
2008-04-17,157.257004,160.266006,154.473007,159.024994,133107,100.700577
2008-04-21,160.041,161.733994,153.042999,155.639008,177213,98.556442
2008-04-22,154.246994,158.837006,154.246994,156.429001,77555,99.056694
2008-04-23,156.578995,158.309998,154.246994,155.563995,96604,98.508949
2008-04-24,157.632996,158.272003,153.117996,154.285004,123619,97.699043
2008-04-25,154.697998,157.257004,153.570007,155.901993,87849,98.722977
2008-04-28,156.503998,157.257004,151.237,152.365997,112807,96.483864
2008-04-29,152.742004,155.789001,151.990005,153.457001,103726,97.174744
2008-04-30,154.585007,155.751999,150.785995,151.651001,66902,96.03109
2008-05-02,154.962006,159.138,153.494003,158.121994,180333,100.128777
2008-05-05,159.889999,164.028,156.617004,160.266006,206999,101.486443
2008-05-06,162.373001,162.373001,155.112,156.429001,57889,99.056694
2008-05-07,157.557999,157.970993,155.074997,156.052994,51705,98.818604
2008-05-08,154.246994,156.804993,152.893005,155.826996,55349,98.675491
2008-05-09,155.376007,156.128006,151.990005,153.156006,54092,96.984116
2008-05-12,152.742004,153.494003,150.371994,152.253006,51880,96.412308
2008-05-13,154.923996,162.899994,152.591995,157.783005,627913,99.914108
2008-05-14,158.009003,161.544998,155.225006,159.889999,148759,101.248344
2008-05-15,161.695999,163.276001,153.494003,155.225006,345029,98.294304
2008-05-16,153.945999,156.466995,152.177994,155.112,187218,98.222725
2008-05-20,156.089996,161.695999,154.322006,156.391006,238885,99.032661
2008-05-21,155.826996,156.880005,154.246994,155.263,67014,98.318344
2008-05-22,154.322006,154.811005,151.613007,152.403,92671,96.507278
2008-05-23,153.832993,154.811005,150.108994,150.785995,63673,95.483345
2008-05-26,148.792007,151.951996,144.615997,148.264999,193733,93.886955
2008-05-27,146.759995,150.410004,146.759995,147.587997,105474,93.458244
2008-05-28,146.910995,149.167999,145.218002,147.927002,42564,93.672913
2008-05-29,149.731995,149.731995,145.593994,146.535004,77330,92.791466
2008-05-30,146.798004,153.080994,145.970001,152.177994,308355,96.364807
2008-06-02,152.440994,154.171997,144.541,146.195999,73658,92.576775
2008-06-03,143.149002,146.723007,142.809998,145.669006,71737,92.243073
2008-06-04,145.970001,145.970001,137.843994,139.160995,66373,88.121956
2008-06-05,142.772003,145.895004,138.822006,140.628006,222387,89.050911
2008-06-06,142.923004,146.684998,140.026001,140.666,152924,89.074997
2008-06-09,135.548996,142.057999,135.511993,140.628006,116481,89.050911
2008-06-10,140.628006,142.848007,138.070007,139.988007,82969,88.645653
2008-06-11,139.235992,142.132996,137.694,139.160995,287924,88.121956
2008-06-12,137.694,139.197998,126.143997,135.322998,1416753,85.691597
2008-06-13,139.197998,139.197998,129.417007,129.944,225390,82.285416
2008-06-16,131.673996,132.389008,127.912003,127.949997,219956,81.022743
2008-06-17,128.626999,132.427002,126.445,131.410995,226012,83.214371
2008-06-18,132.276001,134.307999,131.335999,132.539001,517913,83.928665
2008-06-19,129.492004,137.656006,129.078003,129.679993,147495,82.118233
2008-06-20,130.244995,131.561005,124.526001,125.390999,116795,79.402283
2008-06-23,124.639,124.639,117.980003,118.319,161490,74.924026
2008-06-24,119.222,119.222,114.745003,115.497002,194922,73.137032
2008-06-25,113.615997,113.615997,109.213997,111.359001,167194,70.516693
2008-06-26,114.292999,114.331001,109.100998,110.154999,358353,69.754272
2008-06-27,108.348999,109.477997,106.279999,107.408997,112568,68.015404
2008-06-30,106.806999,108.650002,103.082001,103.985001,138356,65.847206
2008-07-01,103.834999,103.834999,95.5578,96.874603,116301,61.344627
2008-07-02,98.417099,105.678001,96.310303,104.361,193838,66.085297
2008-07-03,102.931999,102.931999,90.290901,94.692596,320068,62.980328
2008-07-04,94.165802,97.815102,94.165802,96.799301,84886,64.381508
2008-07-07,98.191299,100.373001,97.815102,98.718002,127015,65.657631
2008-07-08,92.548103,100.824997,92.510498,98.567497,85835,65.557533
2008-07-09,103.834999,105.338997,99.696198,103.120003,145491,68.585419
2008-07-10,102.706001,103.043999,97.852699,100.110001,119639,66.583458
2008-07-11,100.824997,100.824997,96.310303,98.379402,244423,65.432434
2008-07-14,96.310303,100.035004,96.310303,98.040802,33264,65.207222
2008-07-15,95.5578,97.739899,92.548103,93.601501,55432,62.254642
2008-07-16,92.623398,95.143997,90.328499,91.494797,199462,60.853462
2008-07-17,94.767799,95.143997,87.657402,88.635498,189999,58.951736
2008-07-18,91.043297,93.150101,86.942596,92.360001,248077,61.428921
2008-07-21,92.886703,94.053001,90.215599,93.225304,155108,62.004429
2008-07-22,92.623398,95.7836,92.171898,93.526299,118290,62.204624
2008-07-23,98.040802,109.064003,97.288399,106.806999,566431,71.037651
2008-07-24,109.477997,115.760002,103.910004,105.376999,199850,70.086563
2008-07-25,104.172997,104.172997,97.928001,100.862,332525,67.083611
2008-07-28,99.395203,108.274002,97.514099,102.103996,147939,67.909676
2008-07-29,98.003197,100.448997,97.815102,99.4328,92427,66.133057
2008-07-30,101.163002,101.540001,99.357597,99.959503,42099,66.48336
2008-07-31,100.711998,100.711998,93.563904,94.203499,376147,62.655014
2008-08-01,92.284798,98.116096,92.284798,97.401299,129761,64.781891
2008-08-04,96.310303,101.577003,95.5578,100.862,186904,67.083611
2008-08-05,101.389,109.026001,99.395203,107.898003,572277,71.763283
2008-08-06,110.606003,111.696999,105.452003,107.258003,226491,71.337616
2008-08-07,107.144997,107.144997,102.780998,104.323997,108129,69.3862
2008-08-08,104.586998,106.617996,103.082001,105.828003,110712,70.38652
