"Date","ITC.NS.Open","ITC.NS.High","ITC.NS.Low","ITC.NS.Close","ITC.NS.Volume","ITC.NS.Adjusted"
2010-06-14,111.957,113.581,111.521,95.366699,8419260,80.269424
2010-06-15,113.264,115.917,112.907,97.233299,9378027,81.840538
2010-06-16,116.709,116.709,114.115,96.966698,11822742,81.616135
2010-06-17,115.244,117.581,114.511,97.966698,13327236,82.457832
2010-06-18,116.828,118.531,115.917,98.300003,15590238,82.738373
2010-06-21,117.501,118.808,115.64,99.699997,13894062,83.916733
2010-06-22,118.016,120.293,117.719,100.599998,9383262,84.674263
2010-06-23,118.808,120.472,118.511,100.949997,9282372,84.968849
2010-06-24,119.996,121.936,118.847,101.917,20714163,85.782776
2010-06-25,121.045,121.936,118.888,100.483002,7899066,84.575783
2010-06-28,119.204,120.195,117.62,99.216698,6452673,83.509941
2010-06-29,118.254,118.412,116.452,98.783302,5038401,83.145157
2010-06-30,116.036,121.264,116.036,101.817001,13851996,85.698601
2010-07-01,120.709,120.709,118.907,101,5114853,85.010941
2010-07-02,120.789,121.164,119.521,100.849998,4187586,84.884674
2010-07-05,119.759,120.59,118.808,100.717003,4299357,84.772743
2010-07-06,119.679,120.115,119.244,100.967003,4537185,84.98317
2010-07-07,120.036,120.175,118.808,100.667,6040461,84.730659
2010-07-08,120.392,120.927,119.56,101.050003,5593527,85.053024
2010-07-09,120.056,120.709,118.511,100.116997,5969130,84.267723
2010-07-12,119.601,119.601,118.531,99.983299,6976782,84.155182
2010-07-13,118.788,119.363,116.947,99.699997,14032884,83.916733
2010-07-14,118.868,119.66,117.878,99.5,13910667,83.748398
2010-07-15,118.214,119.204,118.115,100.032997,9170715,84.197021
2010-07-16,119.007,119.026,117.462,99.449997,11566047,83.706306
2010-07-19,117.779,118.788,114.848,97.116699,9788847,81.742393
2010-07-20,115.64,116.194,114.888,97.150002,4301751,81.770424
2010-07-21,115.977,117.224,115.185,97.449997,11564385,82.022926
2010-07-22,105.502,118.234,105.502,99.233299,21792534,83.523926
2010-07-23,118.808,119.878,118.115,100.550003,19647324,84.632187
2010-07-26,119.601,120.076,118.788,100.900002,6791253,84.926765
2010-07-27,121.58,121.58,119.996,101.417,5364126,85.361923
2010-07-28,120.986,122.075,120.076,102.449997,10147950,86.231392
2010-07-29,121.58,123.521,121.205,103.366997,11641920,87.00322
2010-07-30,122.67,123.501,121.184,102.917,11090289,86.624466
2010-08-02,122.412,124.134,122.372,104.266998,16662930,87.760742
2010-08-03,125.699,125.699,121.778,102.932999,8468116,86.637939
2010-08-04,121.977,124.353,120.036,103.532997,8114404,87.142944
2010-08-05,123.323,124.511,122.254,103.866997,5968120,87.424072
2010-08-06,123.561,126.729,123.403,105.833,5979896,89.078835
2010-08-09,125.937,126.887,125.066,105.967003,3997014,89.191628
2010-08-10,126.293,126.293,123.442,104.833,7111350,88.237152
2010-08-11,123.561,124.353,122.254,103.300003,4894132,86.946838
2010-08-12,120.789,123.442,120.432,101.967003,7286562,85.82486
2010-08-13,121.184,124.353,121.145,104.167,7220244,87.676582
2010-08-16,124.828,125.937,123.561,105.5,4363076,88.798561
2010-08-17,125.937,126.967,124.155,106.366997,8288220,89.528313
2010-08-18,127.917,129.105,125.976,108.333,12316598,91.183067
2010-08-19,128.709,131.719,128.709,110.199997,12464668,92.754509
2010-08-20,130.769,131.085,128.352,108.467003,8907615,91.29586
2010-08-23,128.313,128.868,126.016,106.333,5709402,89.499687
2010-08-24,126.373,127.758,125.62,106.567001,5194554,89.69664
2010-08-25,126.65,127.719,126.61,107,6604694,90.061096
2010-08-26,127.52,130.808,127.52,109.266998,16281042,91.9692
2010-08-27,129.976,130.966,127.006,107.467003,5477934,90.45417
2010-08-30,129.105,129.382,125.62,106.199997,4576998,89.387726
2010-08-31,126.967,129.897,125.541,108.766998,13192947,91.548363
2010-09-01,130.095,130.134,128.155,108.766998,7239272,91.548363
2010-09-02,129.739,131.363,129.224,110.300003,7362386,92.838669
2010-09-03,131.244,131.244,128.59,109.333,6091682,92.024773
2010-09-06,130.57,132.51,129.739,110.532997,10604240,93.03479
2010-09-07,131.482,132.471,130.531,110.800003,8545032,93.259521
2010-09-08,130.808,131.402,129.303,109.532997,6021334,92.1931
2010-09-09,131.164,131.164,127.838,108.233002,7403198,91.098907
2010-09-13,129.382,130.531,128.392,108.800003,6539396,91.576149
2010-09-14,129.026,131.64,128.155,110.133003,11277314,92.698112
2010-09-15,130.175,133.065,129.501,111.766998,10372002,94.073441
2010-09-16,132.273,134.174,131.916,111.599998,6883816,93.932877
2010-09-17,132.946,134.055,131.758,112.233002,11380389,94.46566
2010-09-20,133.858,140.986,133.065,117.766998,20783055,99.123604
2010-09-21,140.867,142.015,135.759,115.099998,24214323,96.878807
2010-09-22,135.718,139.243,135.718,116.467003,10948870,98.029404
2010-09-23,138.57,140.946,136.947,117.667,9536061,99.039429
2010-09-24,140.788,143.244,139.956,119.5,13318062,100.582253
2010-09-27,142.887,143.045,140.431,118.932999,11844486,100.105019
2010-09-28,141.699,142.57,139.639,118.932999,10900851,100.105019
2010-09-29,141.382,142.807,137.025,115.733002,10045358,97.411598
2010-09-30,137.66,142.57,136.154,118.866997,24463482,100.049446
2010-10-01,141.699,142.57,139.639,119.099998,15378705,100.245567
2010-10-04,142.57,143.996,138.53,116.833,12965504,98.337456
2010-10-05,139.401,140.114,137.422,115.866997,12483996,97.524376
2010-10-06,139.52,140.155,135.283,115.266998,10790072,97.019371
2010-10-07,137.66,138.135,135.599,114.599998,11788662,96.457954
2010-10-08,136.234,137.303,134.333,114.967003,11291262,96.766869
2010-10-11,137.699,138.174,135.718,115.300003,7472374,97.047142
2010-10-12,136.154,136.867,133.976,113.967003,7683312,95.925171
2010-10-13,137.025,139.282,135.046,116.733002,16060322,98.253288
2010-10-14,139.956,140.075,137.699,116.699997,7065405,98.22551
2010-10-15,139.401,139.401,135.718,114.633003,6708072,96.485733
2010-10-18,136.234,136.906,132.352,114.366997,12772917,96.261841
2010-10-19,135.996,137.224,133.936,113.667,8865621,95.672653
2010-10-20,134.055,135.679,132.67,112,8675724,94.269562
2010-10-21,134.53,138.61,132.51,116.233002,6655713,97.832443
2010-10-22,137.897,138.213,134.808,114.133003,5044809,96.064888
2010-10-25,137.224,137.342,133.54,112.766998,10277516,94.915138
2010-10-26,134.927,137.303,133.936,114.5,9176379,96.373779
2010-10-27,136.035,136.154,132.432,111.900002,7460368,94.185387
2010-10-28,133.976,135.996,130.689,111.366997,34655488,93.736763
2010-10-29,133.936,136.154,131.244,114.133003,27593872,96.064888
2010-11-01,136.629,137.422,135.323,114.567001,12801544,96.430183
2010-11-02,136.392,137.818,135.441,115.599998,6944288,97.299652
2010-11-03,137.818,140.273,137.818,117.032997,14416686,98.505798
2010-11-04,140.471,140.589,138.649,118,8817182,99.31971
2010-11-08,142.095,142.095,138.293,117.099998,6954382,98.562187
2010-11-09,139.401,141.343,137.897,118.532997,6835545,99.768333
2010-11-10,140.589,141.302,139.718,118,5454314,99.31971
2010-11-11,140.589,140.986,138.332,116.900002,3753708,98.393845
2010-11-12,139.323,140.194,136.55,115.900002,6218644,97.552162
2010-11-15,137.342,139.006,135.64,116.766998,3976958,98.281906
2010-11-16,139.362,139.758,133.501,113.300003,8604540,95.363762
2010-11-18,139.204,139.204,133.461,114.633003,12344361,96.485733
2010-11-19,136.431,137.025,134.333,113.967003,8833923,95.925171
2010-11-22,135.64,139.718,134.966,117.266998,12248562,98.702751
2010-11-23,138.807,139.401,134.293,115,12785792,96.794624
2010-11-24,137.778,138.016,135.996,115.800003,9198874,97.467995
2010-11-25,136.709,137.382,133.145,113.133003,13467690,95.223198
2010-11-26,134.847,135.283,131.521,111.766998,14758548,94.073441
2010-11-29,133.065,134.452,129.897,112.400002,19104878,94.606239
2010-11-30,132.709,137.025,131.482,114.599998,19834212,96.457954
2010-12-01,136.629,136.629,134.53,114.266998,7089580,96.177666
2010-12-02,136.353,136.947,134.452,113.932999,12725163,95.896545
2010-12-03,132.67,136.234,130.689,114.199997,14187462,96.121277
2010-12-06,135.441,135.441,133.461,112.699997,5996706,94.858742
2010-12-07,133.54,134.411,131.719,112.133003,9980697,94.381508
2010-12-08,133.065,134.649,131.679,111.167,9758086,93.568428
2010-12-09,132.629,133.461,131.322,111.532997,11088268,93.876488
