"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2013-01-11,1572,1592.949951,1557.699951,1565.25,812488,1514.430786
2013-01-14,1570,1578,1531,1539.099976,1491642,1489.129883
2013-01-15,1545,1564.900024,1543.199951,1546,693345,1495.805786
2013-01-16,1540,1560,1482.300049,1493.199951,1202364,1444.719971
2013-01-17,1486.099976,1521.699951,1486.099976,1494.099976,986779,1445.59082
2013-01-18,1507.800049,1564.199951,1502.5,1547.449951,1741932,1497.208618
2013-01-21,1555,1582.800049,1550.75,1574.599976,1538191,1523.477173
2013-01-22,1581,1594.900024,1567.050049,1570.099976,930310,1519.123169
2013-01-23,1584,1586.349976,1565.199951,1573.699951,841493,1522.606445
2013-01-24,1576,1578,1528.699951,1538.800049,575646,1488.839478
2013-01-25,1549,1606,1542.25,1599.449951,2993882,1547.520386
2013-01-28,1621,1633.900024,1600.5,1608.150024,1157319,1555.937988
2013-01-29,1608,1628,1588,1593.050049,703176,1541.328369
2013-01-30,1603.949951,1622.75,1596,1601.900024,649445,1549.890869
2013-01-31,1594,1616,1578.050049,1581.599976,933230,1530.25
2013-02-01,1585.199951,1621.800049,1580,1609.699951,895967,1557.4375
2013-02-04,1612,1616.800049,1591,1599.400024,416405,1547.472046
2013-02-05,1593,1610.5,1590,1600.349976,491977,1548.391113
2013-02-06,1610,1639,1610,1627.849976,1082611,1574.998291
2013-02-07,1626.949951,1628.900024,1614.400024,1622.349976,480018,1569.677002
2013-02-08,1625,1631.900024,1577.150024,1587.699951,659412,1536.151855
2013-02-11,1593.699951,1594.900024,1555.849976,1558.800049,361453,1508.190186
2013-02-12,1561.550049,1584,1548.150024,1558.949951,442763,1508.335327
2013-02-13,1559.699951,1570,1530,1532.449951,598533,1482.695679
2013-02-14,1515.099976,1518.449951,1476.349976,1485.25,1655638,1437.028076
2013-02-15,1477.25,1485,1463.5,1475.050049,688998,1427.159424
2013-02-18,1476,1485,1466.5,1479.800049,457163,1431.755127
2013-02-19,1471.25,1524.800049,1463.300049,1511.25,814306,1462.18396
2013-02-20,1503.25,1511.25,1482.349976,1508.300049,639004,1459.329834
2013-02-21,1494,1507.900024,1450.150024,1467.5,957074,1419.85437
2013-02-22,1463.400024,1467,1430.099976,1438.400024,648683,1391.699219
2013-02-25,1442,1459.900024,1438.25,1444.099976,399084,1397.213989
2013-02-26,1440,1440,1391.099976,1404.300049,686212,1358.706543
2013-02-27,1400,1429.849976,1377.199951,1408.550049,504783,1362.818481
2013-02-28,1415.300049,1418.800049,1340.300049,1354.349976,2957853,1310.378052
2013-03-01,1364,1436.400024,1362.25,1424.400024,935306,1378.153931
2013-03-04,1408.099976,1416.800049,1390.900024,1398.75,277745,1353.336548
2013-03-05,1395,1444.800049,1395,1430.75,620394,1384.297485
2013-03-06,1434.449951,1442.199951,1411.300049,1424.449951,436690,1378.202026
2013-03-07,1419.5,1454.800049,1409.849976,1449.349976,425637,1402.293701
2013-03-08,1460,1473.949951,1415.900024,1428.949951,756489,1382.555908
2013-03-11,1438.900024,1448,1414,1417.949951,372123,1371.913208
2013-03-12,1410.650024,1430,1401.699951,1417,423192,1370.994019
2013-03-13,1404,1413.699951,1371,1374.25,328461,1329.631958
2013-03-14,1372,1424.900024,1360.75,1418.800049,627771,1372.735718
2013-03-15,1424,1427.800049,1387.599976,1406.699951,444509,1361.02832
2013-03-18,1390,1393.900024,1355.650024,1361.050049,369621,1316.860718
2013-03-19,1366,1382.800049,1335.050049,1364.650024,677734,1320.343628
2013-03-20,1355,1374,1332,1342.599976,454199,1299.009644
2013-03-21,1343,1357.699951,1288,1306.949951,707612,1264.51709
2013-03-22,1313.800049,1323,1295.5,1305.550049,719856,1263.162598
2013-03-25,1321,1330,1276.400024,1285.199951,336083,1243.473145
2013-03-26,1275.199951,1297.900024,1266.099976,1293.25,303740,1251.261841
2013-03-28,1287,1315.800049,1271.699951,1281.199951,840376,1239.603027
2013-04-01,1280,1288.400024,1262,1283.800049,280418,1242.118774
2013-04-02,1275,1315.849976,1260,1307.800049,798827,1265.3396
2013-04-03,1295,1328.400024,1295,1303.5,361668,1261.178955
2013-04-04,1292,1329.5,1282,1311.099976,385661,1268.532349
2013-04-05,1327,1424,1327,1406.300049,1681662,1360.641357
2013-04-08,1402.199951,1424,1381.25,1420.150024,781175,1374.04187
2013-04-09,1426,1442,1401,1407.400024,682014,1361.705566
2013-04-10,1413.099976,1417.650024,1384.25,1412.599976,479132,1366.736938
2013-04-11,1414,1432,1397.800049,1428.050049,506487,1381.685425
2013-04-12,1420,1430,1402.150024,1408.449951,245123,1362.72168
2013-04-15,1400,1444.900024,1396.349976,1422.900024,358385,1376.702515
2013-04-16,1415,1487.900024,1415,1482.050049,620229,1433.932129
2013-04-17,1486.099976,1504.800049,1467.099976,1494.5,422625,1445.977783
2013-04-18,1485.300049,1533.449951,1485.300049,1524.599976,540860,1475.100708
2013-04-22,1528,1553.849976,1525.900024,1540.449951,352370,1490.436035
2013-04-23,1541,1544.199951,1515.150024,1536.349976,288841,1486.469238
2013-04-25,1541.900024,1599.25,1541.900024,1590.949951,775649,1539.296387
2013-04-26,1590.949951,1693,1567.5,1673.150024,3505606,1618.827515
2013-04-29,1675.849976,1704.349976,1675.849976,1683.5,897487,1628.841431
2013-04-30,1690,1697,1655.849976,1669.599976,400577,1615.3927
2013-05-02,1642,1709.699951,1642,1679.800049,877894,1625.261719
2013-05-03,1682.75,1699.5,1661.599976,1665.400024,575722,1611.329224
2013-05-06,1669,1699,1657.400024,1692.400024,414868,1637.452759
2013-05-07,1700,1707.150024,1683.800049,1692.800049,462187,1637.8396
2013-05-08,1697,1697,1674,1680.849976,306652,1626.277466
2013-05-09,1682.25,1684,1655.900024,1660.150024,344448,1606.249634
2013-05-10,1675,1734.900024,1673,1727.949951,1228156,1671.848267
2013-05-13,1740,1740,1698.849976,1705,347596,1649.643433
2013-05-14,1706,1715.900024,1691.5,1703.900024,300610,1648.579224
2013-05-15,1719.75,1758,1711.800049,1739.050049,653485,1682.588135
2013-05-16,1730.099976,1749.800049,1722.300049,1728.199951,289810,1672.090088
2013-05-17,1730,1741.25,1700.699951,1708.699951,288440,1653.223389
2013-05-20,1715,1774.400024,1715,1742.25,549253,1685.684082
2013-05-21,1742.349976,1744.550049,1691.599976,1697.400024,559417,1642.290405
2013-05-22,1705,1714.650024,1682,1687.599976,419210,1632.80835
2013-05-23,1680,1687.449951,1586.099976,1647.5,1072941,1594.010254
2013-05-24,1650.400024,1777,1614,1674.900024,743669,1620.520752
2013-05-27,1670,1670,1633.699951,1648.75,584287,1595.219849
2013-05-28,1650.050049,1669,1650.050049,1655.099976,333797,1601.363525
2013-05-29,1650,1661.800049,1620.650024,1634.150024,457835,1581.09375
2013-05-30,1623,1646,1603.349976,1637.5,593474,1584.335205
2013-05-31,1625.099976,1652.900024,1598.150024,1605.599976,410598,1553.470825
2013-06-03,1599.949951,1599.949951,1548.349976,1568.550049,432366,1517.623779
2013-06-04,1555.650024,1588.75,1539.300049,1546.800049,431388,1496.579956
2013-06-05,1550.099976,1576.300049,1533.25,1568.25,621196,1517.333496
2013-06-06,1558.800049,1598.800049,1550,1587.099976,498248,1535.571533
2013-06-07,1565,1583.5,1545,1554.900024,780953,1504.416748
2013-06-10,1575,1580.949951,1510.150024,1521.849976,503982,1472.439941
2013-06-11,1512,1521,1481,1490.449951,675122,1442.059326
2013-06-12,1486,1490,1461.900024,1479.650024,469660,1431.610107
2013-06-13,1459,1461.5,1430,1456.599976,690959,1409.30835
2013-06-14,1482,1520,1471.650024,1514.150024,383703,1464.989746
2013-06-17,1535.099976,1551.400024,1505.099976,1535.25,533292,1485.404785
2013-06-18,1535,1547,1521,1538.550049,529919,1488.597656
2013-06-19,1529.199951,1549.5,1524,1543.75,389004,1493.628906
2013-06-20,1520,1540.900024,1493.25,1525.150024,505078,1475.632813
2013-06-21,1520,1559.900024,1511.75,1554.650024,433570,1504.174927
2013-06-24,1546,1572,1531.800049,1544.449951,707604,1494.30603
2013-06-25,1540,1557.199951,1502.25,1545.199951,484805,1495.031738
2013-06-26,1546.199951,1557.900024,1513.599976,1544.75,408512,1494.596191
2013-06-27,1560,1565,1511.199951,1521.199951,493875,1471.810913
2013-06-28,1540,1549.199951,1517.099976,1537.75,444718,1487.823608
