"Date","BANKINDIA.NS.Open","BANKINDIA.NS.High","BANKINDIA.NS.Low","BANKINDIA.NS.Close","BANKINDIA.NS.Volume","BANKINDIA.NS.Adjusted"
2015-06-04,190.649994,190.899994,180.550003,183,3807113,178.039307
2015-06-05,180.5,183.5,179.199997,180.850006,2354959,175.947601
2015-06-08,180.800003,181.800003,173.199997,174.050003,2579847,169.331924
2015-06-09,173.600006,176.399994,173,175.600006,1632228,170.839905
2015-06-10,175,179,174.600006,176.649994,1550278,171.861435
2015-06-11,178.100006,178.5,171.899994,173.149994,2707973,168.456314
2015-06-12,172.300003,174.649994,171,173.350006,2341520,168.650909
2015-06-15,174.399994,176.5,170,171.100006,2128968,166.461899
2015-06-16,172.399994,175.550003,171.550003,174.300003,1827561,169.57515
2015-06-17,176,176.600006,173.100006,173.800003,1216942,169.088699
2015-06-18,175,177.800003,174,175.649994,1956249,170.88855
2015-06-19,176.5,178.399994,174.850006,177.600006,1804466,172.78569
2015-06-22,178.300003,185.550003,177.600006,183.25,2393473,178.282532
2015-06-23,184,187.5,182.25,184.300003,1988170,179.304077
2015-06-24,185.050003,185.350006,178.5,179.199997,2304905,174.342316
2015-06-25,179,185.699997,176.350006,183.350006,3819117,178.379822
2015-06-26,182.75,182.75,176,177.100006,2537257,172.299255
2015-06-29,172.199997,175,169,172.050003,2431921,167.386139
2015-06-30,169,172.899994,168.100006,171.399994,2356812,166.753754
2015-07-01,171.300003,181.25,170.699997,179.550003,3185421,174.682831
2015-07-02,180.25,180.699997,177.149994,178.350006,1556954,173.515366
2015-07-03,178,181.899994,176.300003,180.75,2455858,175.850296
2015-07-06,176.100006,186,175.75,184.699997,2360614,179.693222
2015-07-07,184.699997,186.399994,182.199997,184.800003,1784298,179.790512
2015-07-08,181.899994,183.199997,177.75,180.149994,2324257,175.266556
2015-07-09,181,186.899994,181,184.449997,3491147,179.449997
2015-07-10,182,183,179,180.5,2787386,180.5
2015-07-13,181.5,184.300003,179.899994,183.050003,1811572,183.050003
2015-07-14,183.899994,184.5,180.600006,181.600006,1450637,181.600006
2015-07-15,182,183.800003,178.100006,178.75,1431354,178.75
2015-07-16,179.300003,182.399994,179,180.199997,1296885,180.199997
2015-07-17,181.699997,182.199997,178.199997,179.199997,1178811,179.199997
2015-07-20,180.199997,180.199997,172.949997,173.399994,2012714,173.399994
2015-07-21,174.25,176,170.100006,170.5,2054325,170.5
2015-07-22,170,172.75,168.100006,172.100006,1116222,172.100006
2015-07-23,172.899994,173.800003,170.300003,172.949997,1287266,172.949997
2015-07-24,172.800003,174.5,170.600006,171.300003,1036415,171.300003
2015-07-27,170,170.300003,163.100006,163.75,1804573,163.75
2015-07-28,164,165.300003,153.199997,154.449997,9024324,154.449997
2015-07-29,154,155.5,147.600006,149.75,4112634,149.75
2015-07-30,151,159.949997,150,157.25,5759396,157.25
2015-07-31,158,166.100006,156.350006,163,5133078,163
2015-08-03,163.949997,171.850006,163.600006,167.050003,4762700,167.050003
2015-08-04,168.75,174,165.300003,173.100006,5822703,173.100006
2015-08-05,175,178,168.550003,169.949997,4543645,169.949997
2015-08-06,170,176.300003,167,174.199997,3530153,174.199997
2015-08-07,173.5,175,170.300003,171.300003,1973230,171.300003
2015-08-10,171.850006,173.800003,167.5,168.899994,2609409,168.899994
2015-08-11,169.899994,170.399994,162.949997,163.649994,2303866,163.649994
2015-08-12,162,163.75,156.550003,157.949997,2760414,157.949997
2015-08-13,160,162.649994,155.699997,157.5,1961821,157.5
2015-08-14,158.5,171.25,157.199997,170.199997,3374170,170.199997
2015-08-17,172.399994,188.25,171.800003,185.75,8654063,185.75
2015-08-18,185.449997,187.300003,177.600006,178.75,5515718,178.75
2015-08-19,178.75,180.100006,175.100006,177.100006,3375051,177.100006
2015-08-20,175,179.100006,168.350006,169.649994,3186763,169.649994
2015-08-21,162.699997,167.5,160.949997,166.5,4432334,166.5
2015-08-24,158,158.850006,133.199997,140.350006,6477102,140.350006
2015-08-25,143.600006,145.399994,131.399994,140.899994,7510477,140.899994
2015-08-26,140,143.300003,136.149994,138.899994,3330631,138.899994
2015-08-27,143,143.899994,140,142.75,3377397,142.75
2015-08-28,146,148.100006,138.149994,141.550003,4489613,141.550003
2015-08-31,142,147.5,140.550003,142.149994,3325862,142.149994
2015-09-01,139.5,141,132.25,134.5,4241770,134.5
2015-09-02,136,136.800003,130.199997,130.899994,4335261,130.899994
2015-09-03,132.399994,135.75,131.699997,133.449997,2863286,133.449997
2015-09-04,132.75,132.75,126,128.699997,3791111,128.699997
2015-09-07,129.100006,131.5,126.400002,127.25,2620488,127.25
2015-09-08,128.600006,137.199997,127.699997,133.5,4054881,133.5
2015-09-09,136,137.449997,132.5,135.300003,3240649,135.300003
2015-09-10,132.699997,133.800003,129.800003,131.800003,3204404,131.800003
2015-09-11,133.699997,135.449997,130.649994,132.100006,3141431,132.100006
2015-09-14,132.800003,136.399994,131.649994,136,2397118,136
2015-09-15,136,141.399994,135.75,136.600006,5202702,136.600006
2015-09-16,139.199997,140.350006,137.800003,138.649994,2509733,138.649994
2015-09-18,138.649994,145,138.649994,140.300003,4515803,140.300003
2015-09-21,138.600006,144,137.949997,143.550003,3278052,143.550003
2015-09-22,144.75,145.699997,135.600006,136.75,3207993,136.75
2015-09-23,134.100006,137.449997,133.949997,135.699997,4722694,135.699997
2015-09-24,135.699997,137.199997,133.600006,135.149994,2879248,135.149994
2015-09-28,135.149994,139.100006,135.100006,135.75,2031904,135.75
2015-09-29,134,140.949997,131.5,137.800003,5239331,137.800003
2015-09-30,139.949997,141.149994,133.75,135.600006,3170862,135.600006
2015-10-01,138,138,133.350006,134.350006,2233973,134.350006
2015-10-05,134.350006,139.800003,134.350006,139.199997,2366644,139.199997
2015-10-06,141,143.449997,136.350006,141.850006,3272714,141.850006
2015-10-07,142.199997,146.399994,140.649994,145.850006,3387725,145.850006
2015-10-08,145.25,149,143.199997,145.5,3198725,145.5
2015-10-09,147.5,149,142.5,144.649994,2618056,144.649994
2015-10-12,144.649994,146.5,142.199997,143.949997,2335558,143.949997
2015-10-13,143.949997,145.399994,140.199997,142.25,2083917,142.25
2015-10-14,142.399994,143.399994,140.649994,141.449997,1719437,141.449997
2015-10-15,142.350006,144.199997,141.600006,142.550003,1522733,142.550003
2015-10-16,142.050003,144,140.399994,143.5,2482436,143.5
2015-10-19,143.449997,143.699997,141.050003,141.800003,1273057,141.800003
2015-10-20,142.050003,144.75,141.350006,142.5,1669345,142.5
2015-10-21,142.600006,143.350006,137.100006,138.5,2432881,138.5
2015-10-23,138.5,141,137.75,138.449997,1629161,138.449997
2015-10-26,139.25,139.550003,136.399994,137.100006,1478573,137.100006
2015-10-27,136.300003,138.199997,136.199997,137.300003,1286379,137.300003
2015-10-28,137,137,133.350006,134.449997,2043749,134.449997
2015-10-29,135.649994,136,133,133.699997,2081455,133.699997
2015-10-30,135,135.75,130.449997,131.300003,2210223,131.300003
2015-11-02,131.449997,133.800003,128.5,132.699997,3053007,132.699997
2015-11-03,133.800003,134.800003,132.399994,133.199997,1923162,133.199997
2015-11-04,134.300003,135.399994,132.600006,133.449997,2293579,133.449997
2015-11-05,133.100006,134.050003,132,132.5,1439564,132.5
2015-11-06,132.5,136.350006,130.550003,134.5,2448048,134.5
2015-11-09,132,135.550003,130.699997,133.550003,3577645,133.550003
2015-11-10,127.599998,138.850006,127.5,131.899994,11692226,131.899994
2015-11-13,131.899994,131.949997,129.300003,130.25,2507502,130.25
2015-11-16,129.850006,133.800003,129.550003,133.050003,1973356,133.050003
2015-11-17,134,134.600006,131.399994,131.800003,1629176,131.800003
2015-11-18,131.550003,132.800003,128.100006,128.600006,1911277,128.600006
2015-11-19,129.399994,130.199997,128.300003,128.899994,1413209,128.899994
2015-11-20,128.949997,130.850006,127.199997,129.600006,1862420,129.600006
2015-11-23,130.5,131,128.149994,128.350006,1580581,128.350006
2015-11-24,128,129.100006,124.099998,124.599998,4154323,124.599998
2015-11-26,124.599998,127.099998,123.449997,126.400002,3647874,126.400002
2015-11-27,126.400002,130.949997,126,130.300003,3811943,130.300003
2015-11-30,130.399994,132,130.100006,130.75,1729368,130.75
2015-12-01,132,132.199997,129.899994,130.600006,1602300,130.600006
2015-12-02,130.550003,131.100006,126.900002,127.400002,2339781,127.400002
2015-12-03,126.75,127.650002,124.800003,125.300003,2105290,125.300003
2015-12-04,124,125,123.099998,123.349998,1949910,123.349998
2015-12-07,124.599998,124.949997,121.400002,121.75,2082903,121.75
2015-12-08,121,122.5,117.5,118.099998,3145482,118.099998
2015-12-09,118,119.199997,116.599998,116.900002,2418597,116.900002
2015-12-10,117.599998,118,115.099998,116.849998,2512651,116.849998
2015-12-11,116.900002,118.75,113.25,115.25,3514803,115.25
2015-12-14,113.75,117.25,113.300003,115.75,2163378,115.75
2015-12-15,116,116.699997,114.699997,115.800003,1615647,115.800003
2015-12-16,116.650002,117.900002,115.650002,115.949997,1833205,115.949997
2015-12-17,117,117.949997,116.099998,117.300003,1910998,117.300003
2015-12-18,117,120.400002,116.599998,117.550003,3301130,117.550003
2015-12-21,117.949997,118.800003,117.599998,117.949997,1388962,117.949997
2015-12-22,119,119.849998,116,116.400002,2793658,116.400002
2015-12-23,117.099998,117.949997,116.849998,117.650002,1318932,117.650002
2015-12-24,117.900002,118.199997,116.550003,117.5,1034945,117.5
2015-12-28,117.5,118.800003,117.199997,117.849998,1150013,117.849998
2015-12-29,118.050003,118.25,116.300003,116.699997,1528784,116.699997
2015-12-30,116.900002,117.699997,115,115.349998,1893165,115.349998
2015-12-31,115.400002,115.75,114.199997,114.949997,1647237,114.949997
2016-01-01,114.900002,117.75,114.599998,117.349998,1729723,117.349998
2016-01-04,116.599998,117.349998,113.800003,114.699997,1961521,114.699997
2016-01-05,115.199997,115.349998,112.800003,113.900002,1589405,113.900002
2016-01-06,114.099998,117.300003,113,114.25,2785428,114.25
2016-01-07,113.050003,113.099998,108.650002,109.050003,3050214,109.050003
2016-01-08,109.900002,110.849998,109.099998,109.900002,1808771,109.900002
2016-01-11,109,109.849998,107.050003,107.5,2375792,107.5
2016-01-12,107.599998,108.5,103.25,104.400002,2849905,104.400002
2016-01-13,105.599998,105.599998,99.099998,100.199997,4661852,100.199997
2016-01-14,97.699997,99,95.5,98,3494658,98
2016-01-15,98.900002,99.050003,92.650002,94.550003,3578252,94.550003
2016-01-18,95,96,90.349998,92.400002,4523474,92.400002
