"Date","M&M.NS.Open","M&M.NS.High","M&M.NS.Low","M&M.NS.Close","M&M.NS.Volume","M&M.NS.Adjusted"
2008-04-01,173.574997,179.188004,160.25,162.600006,3216108,113.847626
2008-04-02,168.75,168.75,163.787994,166.675003,1422732,116.700821
2008-04-03,168,170.5,157.811996,161.287994,2063492,112.928986
2008-04-04,161.311996,161.311996,150.75,151.300003,4858712,105.935699
2008-04-07,151.5,156.25,150.899994,153.774994,2584676,107.66861
2008-04-08,153.774994,155,150.011993,151.912994,2333088,106.364891
2008-04-09,151.75,154.25,148.024994,152.225006,2629580,106.583351
2008-04-10,154,156.975006,151.550003,153.261993,2154536,107.309425
2008-04-11,154.25,156.25,153.75,154.688004,1492300,108.307854
2008-04-15,154.5,157,150.511993,155.863007,1947940,109.130569
2008-04-16,156.261993,158.25,153.662994,155.188004,2677828,108.657951
2008-04-17,156.75,161.287994,155.011993,160.550003,1350760,112.412277
2008-04-21,160.75,162.011993,156.324997,159.25,763264,111.502045
2008-04-22,158.75,158.75,155.787994,157.287994,3315376,110.128311
2008-04-23,158.25,159.725006,156.25,157.5,1211672,110.276756
2008-04-24,158.75,159.725006,156.25,157.613007,3647028,110.355873
2008-04-25,158.162994,160.5,157.061996,158.613007,976080,111.056038
2008-04-28,159.5,161.175003,157.524994,158.863007,1127200,111.231079
2008-04-29,158.261993,161.975006,158.261993,161.274994,1227800,112.919861
2008-04-30,161.761993,170.613007,161.274994,167.550003,2205068,117.313454
2008-05-02,167.25,176.25,167.25,172.811996,2934940,120.997772
2008-05-05,174.988007,175,167.774994,169.662994,1826828,118.792908
2008-05-06,169.938004,169.938004,163,165.011993,2751284,115.536415
2008-05-07,167.5,169.975006,163.25,169.125,1175512,118.416206
2008-05-08,167.25,170.699997,166.25,169.712006,1791240,118.827209
2008-05-09,169.5,170,166.899994,168.212006,1137092,117.776978
2008-05-12,168.212006,169,162.511993,165.438004,3055468,115.834694
2008-05-13,167.25,168.199997,164.25,166.511993,3368244,116.58667
2008-05-14,166.25,168.975006,161.962006,164.074997,2693608,114.880356
2008-05-15,165,167.25,164.561996,165.537994,1328596,115.904701
2008-05-16,165.037994,168.725006,165.037994,165.863007,2098032,116.132263
2008-05-20,164.975006,165.5,161.774994,163.449997,2172504,114.442764
2008-05-21,163.5,167.375,161.261993,166.712006,4105092,116.726707
2008-05-22,165,165,162.5,163.175003,2282052,114.250221
2008-05-23,162.25,165,160.850006,163,2452860,114.127686
2008-05-26,162.75,164.75,159.75,160.800003,2259392,112.587311
2008-05-27,160.25,162.5,159.574997,161.613007,1196876,113.156548
2008-05-28,161,163.5,156.5,160.375,4966708,112.289726
2008-05-29,162,162,150.050003,151.574997,3048592,106.128242
2008-05-30,152.5,155.949997,145.761993,147.537994,2363820,103.301643
2008-06-02,147,151.75,143,148,1906104,103.625145
2008-06-03,146.5,151,146.5,148.462006,871280,103.948624
2008-06-04,149.25,149.25,140.061996,142.113007,1361924,99.503235
2008-06-05,143.863007,143.863007,139.024994,140.761993,2186284,98.557304
2008-06-06,140.625,147.25,140.625,145.162994,1194296,101.638756
2008-06-09,140,143.462006,137,141.399994,2501500,99.004021
2008-06-10,144.662994,144.662994,138.5,141.350006,3262360,98.969002
2008-06-11,141.574997,146.199997,141.574997,144.787994,717732,101.376183
2008-06-12,141.274994,149.925003,140.287994,145.087006,851332,101.585541
2008-06-13,143.761993,144.462006,141.5,142.561996,3821692,99.817596
2008-06-16,143.037994,145.25,140.524994,143.574997,1935212,100.526878
2008-06-17,144,145.25,141.311996,142.912994,1665404,100.063362
2008-06-18,143,144.25,142,142.5,1793796,99.7742
2008-06-19,142.5,146,140.25,145,1256376,101.52462
2008-06-20,146.75,146.75,142.25,143.550003,4674572,100.509377
2008-06-23,142.261993,143.550003,136.375,137.225006,2316344,96.080818
2008-06-24,136.511993,140,133.011993,135.050003,1679856,94.557938
2008-06-25,135,137.449997,130.662994,135.024994,2178376,94.540421
2008-06-26,136,147,130.5,138.149994,2141960,96.728455
2008-06-27,132.5,132.5,125.75,128.136993,1715440,89.717644
2008-06-30,126.75,137.438004,119.5,122.137001,1796256,85.516632
2008-07-01,122.137001,124.5,106.775002,111.887001,1131524,78.339905
2008-07-02,112.5,121.212997,109,118.099998,2422024,82.690056
2008-07-03,112.512001,119.699997,107.474998,117.324997,1442624,91.009483
2008-07-04,113.112999,122.462997,113.112999,118.775002,1606228,92.134254
