"Date","CAPPIPES.BO.Open","CAPPIPES.BO.High","CAPPIPES.BO.Low","CAPPIPES.BO.Close","CAPPIPES.BO.Volume","CAPPIPES.BO.Adjusted"
2015-10-20,40,40,40,40,3000,40
2015-10-21,40,40,40,40,0,40
2015-10-23,40,40,40,40,6000,40
2015-10-26,40,40,40,40,6000,40
2015-10-27,40,40,40,40,0,40
2015-10-28,40,40,40,40,0,40
2015-10-29,40,40,40,40,0,40
2015-10-30,40,40,40,40,0,40
2015-11-02,39,39,39,39,3000,39
2015-11-03,40,40,40,40,3000,40
2015-11-04,40,40,40,40,0,40
2015-11-05,40,40,40,40,0,40
2015-11-06,40,40,40,40,0,40
2015-11-09,40,40,40,40,0,40
2015-11-10,40,40,40,40,0,40
2015-11-13,40,40,40,40,0,40
2015-11-16,40,40,40,40,0,40
2015-11-17,40,40,40,40,0,40
2015-11-18,40,40,40,40,0,40
2015-11-19,40,40,40,40,0,40
2015-11-20,40,40,40,40,0,40
2015-11-23,40,40,40,40,0,40
2015-11-24,40,40,40,40,0,40
2015-11-26,40,40,40,40,0,40
2015-11-27,40,40,40,40,6000,40
2015-11-30,40,40,40,40,0,40
2015-12-01,40,40,40,40,3000,40
2015-12-02,40,40,40,40,0,40
2015-12-03,39,39,39,39,3000,39
2015-12-04,39,39,39,39,0,39
2015-12-07,39,39,39,39,0,39
2015-12-08,39,39,39,39,0,39
2015-12-09,40,40,40,40,60000,40
2015-12-10,40,40,40,40,0,40
2015-12-11,38,38,38,38,3000,38
2015-12-14,38,38,38,38,0,38
2015-12-15,38,38,38,38,0,38
2015-12-16,38,38,38,38,0,38
2015-12-17,39,39,38,38,6000,38
2015-12-18,38,38,38,38,0,38
2015-12-21,38,38,38,38,0,38
2015-12-22,38,38,38,38,0,38
2015-12-23,38,38,38,38,0,38
2015-12-24,38,38,38,38,0,38
2015-12-28,38,38,38,38,0,38
2015-12-29,38,38,38,38,0,38
2015-12-30,38,38,38,38,0,38
2015-12-31,38,38,38,38,0,38
2016-01-01,38,38,38,38,0,38
2016-01-04,38,38,38,38,0,38
2016-01-05,38,38,38,38,0,38
2016-01-06,38,38,38,38,0,38
2016-01-07,38,38,38,38,0,38
2016-01-08,38,38,38,38,0,38
2016-01-11,38,38,38,38,0,38
2016-01-12,38,38,38,38,0,38
2016-01-13,38,38,38,38,0,38
2016-01-14,38,38,38,38,0,38
2016-01-15,41,41,41,41,3000,41
2016-01-18,38.099998,38.099998,38.099998,38.099998,9000,38.099998
2016-01-19,38.099998,38.099998,38.099998,38.099998,0,38.099998
2016-01-20,37.099998,37.099998,37.099998,37.099998,9000,37.099998
2016-01-21,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-01-22,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-01-25,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-01-27,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-01-28,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-01-29,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-02-01,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-02-02,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-02-03,37.099998,37.099998,37.099998,37.099998,0,37.099998
2016-02-04,37.5,37.5,37.5,37.5,3000,37.5
2016-02-05,37.5,37.5,37.5,37.5,0,37.5
2016-02-08,38,38,38,38,3000,38
2016-02-09,38,38,38,38,0,38
2016-02-10,38,38,38,38,0,38
2016-02-11,38,38,38,38,0,38
2016-02-12,37.049999,37.049999,37.049999,37.049999,3000,37.049999
2016-02-15,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-02-16,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-02-17,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-02-18,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-02-19,37.049999,37.049999,37.049999,37.049999,6000,37.049999
2016-02-22,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-02-23,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-02-24,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-02-25,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-02-26,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-02-29,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-01,37,37,37,37,6000,37
2016-03-02,37,37,37,37,0,37
2016-03-03,37,37,37,37,0,37
2016-03-04,37,37,37,37,0,37
2016-03-08,37,37.049999,37,37.049999,9000,37.049999
2016-03-09,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-10,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-11,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-14,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-15,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-16,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-17,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-18,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-21,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-22,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-23,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-28,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-29,37.049999,37.049999,37.049999,37.049999,9000,37.049999
2016-03-30,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-03-31,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-04-01,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-04-04,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-04-05,37.049999,37.049999,37.049999,37.049999,0,37.049999
2016-04-06,37,37,37,37,3000,37
2016-04-07,37,37,37,37,0,37
2016-04-08,37,37,37,37,0,37
2016-04-11,37,37,37,37,0,37
2016-04-12,37,37,37,37,0,37
2016-04-13,37,37,37,37,0,37
2016-04-18,37,37,37,37,0,37
2016-04-20,37,37,37,37,0,37
2016-04-21,37,37,37,37,0,37
2016-04-22,37,37,37,37,0,37
2016-04-25,37,37,37,37,0,37
2016-04-26,37,37,37,37,0,37
