"Date","INFY.NS.Open","INFY.NS.High","INFY.NS.Low","INFY.NS.Close","INFY.NS.Volume","INFY.NS.Adjusted"
2011-12-27,691.25,699.75,684.062012,689.849976,3089100,497.287903
2011-12-28,692.25,701,687.888,695.5,3425624,501.360718
2011-12-29,689.5,693.724976,682.763,685.525024,4418584,494.170197
2011-12-30,686,693.75,685.375,691.911987,2654408,498.774323
2012-01-02,689.799988,704.161987,685.5,702.237,2913088,506.217377
2012-01-03,706.025024,721.737,705,716.075012,4451504,516.192566
2012-01-04,711.25,718.75,710.263,713.599976,3670712,514.408386
2012-01-05,709.799988,719,707.862,710.036987,3562636,511.839874
2012-01-06,709.5,716.900024,702.775024,708.036987,3543816,510.398285
2012-01-09,711.875,716.575012,704.299988,709.138,4132892,511.191864
2012-01-10,717.5,718.849976,712.549988,715.900024,5589588,516.066528
2012-01-11,717,723.724976,703.25,706.650024,6897900,509.398407
2012-01-12,687.5,687.5,644.513,647.062012,24485300,466.443604
2012-01-13,654.5,654.75,638.062012,646.049988,10449472,465.71405
2012-01-16,645.312012,661,644.775024,660.036987,6594368,475.796753
2012-01-17,662.5,668.200012,658.463013,665.513,4370212,479.744232
2012-01-18,661,661,646.25,653.013,4850212,470.733459
2012-01-19,654,655.700012,644.150024,648.674988,4826168,467.606354
2012-01-20,649,652.424988,644.075012,647.200012,5817856,466.54306
2012-01-23,647.5,653.875,647.25,650.075012,2580432,468.61554
2012-01-24,654.5,659.900024,648.75,655.200012,2826604,472.309906
2012-01-25,658.75,668.75,656.25,666.450012,5272680,480.419678
2012-01-27,666.450012,683.75,666.450012,681.25,6109436,491.08844
2012-01-30,674.724976,681.299988,672.5,678.075012,4794228,488.799774
2012-01-31,678,688.661987,676.5,686.5,4329448,494.873016
2012-02-01,684.924988,687,673.911987,685.674988,3134668,494.278351
2012-02-02,685.025024,695.75,682.5,689.25,5769128,496.855377
2012-02-03,685.013,698,685.013,695.812012,5818600,501.585693
2012-02-06,701.275024,701.974976,688.025024,694.275024,3968840,500.477692
2012-02-07,701.25,701.25,678.411987,681.875,3610820,491.539063
2012-02-08,687,695.5,685.338013,692.286987,3335748,499.044647
2012-02-09,687.25,705.525024,682.963013,702.474976,5078420,506.388763
2012-02-10,699.75,700.5,687.786987,697.599976,2588808,502.874603
2012-02-13,693.812012,700.125,689.275024,697.099976,2867004,502.51413
2012-02-14,694,702.474976,691,700.263,2738884,504.794312
2012-02-15,703.75,718.75,703.75,716.025024,3589164,516.156555
2012-02-16,716,729.424988,715.138,727.237,4128276,524.238831
2012-02-17,729.062012,744.5,725.036987,736.950012,5728640,531.24054
2012-02-21,736.950012,739.974976,727.812012,734.562012,3024612,529.519165
2012-02-22,726.299988,748.5,726.299988,738.062012,5206560,532.042297
2012-02-23,734.75,745.650024,729.049988,733.286987,5237480,528.600159
2012-02-24,733,743.5,730.875,737.013,4268220,531.286011
2012-02-27,741.25,741.25,718,720.838013,3455284,519.626038
2012-02-28,721.5,727.5,713.737,718.099976,3975100,517.652283
2012-02-29,723.5,727.025024,716.049988,720.862,4434204,519.643372
