"Date","TARAJEWELS.NS.Open","TARAJEWELS.NS.High","TARAJEWELS.NS.Low","TARAJEWELS.NS.Close","TARAJEWELS.NS.Volume","TARAJEWELS.NS.Adjusted"
2017-02-09,42.599998,42.599998,41,41.700001,30977,41.700001
2017-02-10,42.400002,48.700001,40.099998,45.450001,552550,45.450001
2017-02-13,43,45.049999,42,42.099998,143243,42.099998
2017-02-14,42.099998,42.099998,40.599998,40.700001,60169,40.700001
2017-02-15,41,43,40,41.150002,115208,41.150002
2017-02-16,40.5,44,40.5,41.900002,58565,41.900002
2017-02-17,42.799999,42.799999,41,41.5,17941,41.5
2017-02-20,42.650002,42.700001,41.150002,41.799999,32481,41.799999
2017-02-21,42.599998,43.700001,41.25,43.349998,83839,43.349998
2017-02-22,43.450001,44,42.5,43.200001,53148,43.200001
2017-02-23,42.299999,43.299999,40.700001,41.150002,150982,41.150002
2017-02-27,41.150002,42.299999,40.099998,40.700001,23810,40.700001
2017-02-28,41.650002,41.799999,40.599998,41.150002,23769,41.150002
2017-03-01,41.25,41.700001,40.75,41,28269,41
2017-03-02,41.599998,41.700001,40.5,40.599998,27103,40.599998
2017-03-03,40.599998,40.599998,40,40.299999,27912,40.299999
2017-03-06,41.049999,41.299999,40.299999,40.349998,10277,40.349998
2017-03-07,41,41,39,39.900002,25043,39.900002
2017-03-08,39.900002,40.650002,39.049999,39.5,22239,39.5
2017-03-09,39.25,39.950001,38.5,38.700001,39628,38.700001
2017-03-10,39.900002,39.900002,38.700001,39.099998,29470,39.099998
2017-03-14,39.099998,40.5,38.650002,38.799999,46467,38.799999
2017-03-15,38.75,38.75,37.5,37.799999,70131,37.799999
2017-03-16,38.75,39.299999,36.200001,38.900002,110801,38.900002
2017-03-17,38.799999,39.900002,38.75,39.549999,36932,39.549999
2017-03-20,39,40.549999,39,39.849998,73020,39.849998
2017-03-21,40,40.849998,39.5,40.25,86289,40.25
2017-03-22,40,40.5,38.799999,38.900002,32112,38.900002
2017-03-23,39.5,39.799999,38.200001,39.25,28765,39.25
2017-03-24,39.25,39.549999,38.75,39,16967,39
2017-03-27,39.299999,40.5,38.150002,38.549999,28164,38.549999
2017-03-28,39.700001,39.700001,38.75,38.849998,18961,38.849998
2017-03-29,39.450001,39.450001,38.349998,38.400002,38041,38.400002
2017-03-30,38.5,39,38.349998,38.549999,33021,38.549999
2017-03-31,39.400002,39.400002,38.049999,38.25,33008,38.25
2017-04-03,38.150002,39.299999,38.150002,39,16346,39
2017-04-05,39,40.700001,39,39.799999,63516,39.799999
2017-04-06,40.450001,40.5,39.049999,39.75,47843,39.75
2017-04-07,39.849998,40.200001,39.400002,39.450001,28154,39.450001
2017-04-10,41,41,39.799999,40.450001,117752,40.450001
2017-04-11,40.5,42.099998,40,41.700001,82548,41.700001
2017-04-12,41.5,42,40,41.200001,44801,41.200001
2017-04-13,41.200001,41.200001,40.400002,40.900002,34873,40.900002
2017-04-17,40.900002,44.849998,40.5,43.450001,197635,43.450001
