"Date","BPCL.NS.Open","BPCL.NS.High","BPCL.NS.Low","BPCL.NS.Close","BPCL.NS.Volume","BPCL.NS.Adjusted"
2016-06-22,336,337.850006,334.416992,336.450012,2327880,311.801147
2016-06-23,337,343.5,334.333008,341.28299,2239926,316.280029
2016-06-24,337.333008,341.46701,332.03299,337.816986,3258312,313.067993
2016-06-27,340,348.96701,338.850006,346.066986,4301535,320.713562
2016-06-28,347.266998,351.367004,346.733002,350.566986,3563907,324.883881
2016-06-29,351.632996,353.53299,347.766998,351.450012,2497464,325.702209
2016-06-30,354,359.333008,350.367004,357.382996,7047534,331.200562
2016-07-01,358.333008,367.433014,355.666992,363.983002,3197589,337.317047
2016-07-04,365,370,365,368.71701,5078118,341.704224
2016-07-05,369.166992,372.600006,364.132996,365.983002,5876130,339.170502
2016-07-07,366.382996,373.666992,363.166992,371.367004,7552701,344.160065
2016-07-08,373.700012,374.632996,368.149994,371.566986,8512599,344.345398
2016-07-11,375.632996,383.333008,373.367004,377.766998,9432867,350.091187
2016-07-12,377.399994,385.333008,371.03299,373.516998,11059899,346.152557
2016-07-13,373.266998,375.333008,362.399994,363.733002,5611342,337.085358
2016-07-14,364.166992,370.96701,364.166992,368.933014,2355452,341.904388
2016-07-15,369.333008,371.933014,364.666992,369.833008,3648285,342.738464
2016-07-18,370.666992,375.166992,367.733002,370.766998,2543924,343.604034
2016-07-19,370.399994,382.666992,369.367004,381.433014,4372432,353.488647
2016-07-20,380,388.666992,380,383,3475419,354.940826
2016-07-21,388.132996,393.733002,382.200012,384.166992,4150452,356.022308
2016-07-22,385.132996,389.96701,379.03299,388.799988,2938803,360.315887
2016-07-25,391.333008,401.233002,390.266998,395.666992,4610001,366.67981
2016-07-26,396.333008,400.566986,390.333008,392.233002,3219046,363.497375
2016-07-27,392.433014,397.566986,388.299988,392.333008,3269878,363.590057
2016-07-28,392.96701,395.266998,383.367004,389.200012,6397185,360.686615
2016-07-29,391.733002,398,388.399994,395.100006,2648415,366.154327
2016-08-01,397.96701,402.333008,393.5,396.399994,3332542,367.3591
2016-08-02,397.700012,399.799988,384.766998,386.233002,4018000,357.936951
2016-08-03,386.666992,388.700012,378.5,381.933014,4268510,353.951996
2016-08-04,382.833008,385.399994,372,379.53299,3726234,351.727783
2016-08-05,383.867004,391.867004,382.367004,391.03299,4148520,362.385284
2016-08-08,395.399994,411.799988,392.666992,404.5,12245334,374.865692
2016-08-09,405.96701,409.166992,394.933014,397.100006,7375902,368.007813
2016-08-10,398.367004,403,385.600006,389.03299,6237603,360.53183
2016-08-11,392.666992,400,387.333008,397.899994,6324160,368.749237
2016-08-12,392.799988,396.333008,383.299988,386.632996,4508664,358.307678
2016-08-16,386.666992,401.666992,385.46701,397.600006,4904072,368.471191
2016-08-17,397.333008,399.200012,389.03299,391.566986,2935588,362.880157
2016-08-18,392.066986,397.933014,390,391.399994,3803064,362.725433
2016-08-19,392.666992,396.733002,387.53299,395.46701,3905562,366.494446
2016-08-22,396.666992,403.600006,395.833008,398.333008,4934230,369.150513
2016-08-23,400.666992,401.399994,381,384.066986,5640034,355.929596
2016-08-24,386.666992,390.600006,383.367004,387.833008,5490858,359.419739
2016-08-25,391.333008,400,387.399994,398.833008,8470168,369.613861
2016-08-26,398.600006,401.299988,395.399994,397.166992,4611704,368.069916
2016-08-29,397.96701,401.200012,395.933014,399.200012,3677163,369.953979
2016-08-30,401.867004,407.566986,401,405.5,4467592,375.792419
2016-08-31,406,406.632996,398.399994,401.733002,14881270,372.301392
2016-09-01,400.200012,404.632996,389,391.200012,5586912,362.54007
2016-09-02,393.333008,394,387.53299,391.166992,3897336,362.509491
2016-09-06,395,399.933014,392.5,399.066986,3413626,369.830719
2016-09-07,399.933014,399.96701,391.367004,393.200012,2469830,364.393555
2016-09-08,393.333008,395.367004,389.632996,391.46701,3165132,362.787506
2016-09-09,391.399994,396.666992,390.03299,392.367004,2738559,363.621582
2016-09-12,386.899994,390.399994,375.399994,377.266998,4118312,349.627808
2016-09-14,381.066986,385.666992,377.600006,383.566986,3595995,355.466278
2016-09-15,386.53299,386.53299,376.933014,378.766998,2901042,351.017944
2016-09-16,383.333008,387.933014,379.399994,385.299988,17258991,357.072296
2016-09-19,387.333008,391.733002,386.566986,390.132996,3225069,361.551208
2016-09-20,391.333008,393.299988,388.53299,390.5,3139791,361.891357
2016-09-21,393.333008,396.933014,386.766998,391.200012,2660577,362.54007
2016-09-22,395.333008,400.333008,392.46701,399.200012,3877632,369.953979
2016-09-23,400.867004,405.433014,400.399994,403.100006,3125808,373.568268
2016-09-26,403.333008,416.600006,396.867004,414.96701,4744080,384.565857
2016-09-27,418.799988,419.066986,405.600006,407.166992,4182117,377.337311
2016-09-28,408,413.166992,406.299988,410.867004,2080726,380.766235
2016-09-29,410.46701,415.233002,400.266998,406.766998,6717898,376.966614
2016-09-30,403.333008,412.46701,402.666992,408.399994,2637549,378.47995
2016-10-03,410.666992,420.333008,410,418.5,2755834,387.840027
2016-10-04,418.833008,426,418.700012,424.96701,2429409,393.833252
2016-10-05,425.132996,434.700012,418,433.266998,2519082,401.525146
2016-10-06,435.799988,455.733002,434.666992,447.132996,5038671,414.375305
2016-10-07,449.933014,453.266998,437.333008,442.367004,2875080,409.958466
2016-10-10,442.666992,444.600006,435.53299,438.53299,2352867,406.405365
2016-10-13,435.333008,446.96701,430.600006,438.066986,4890496,405.973511
2016-10-14,440.632996,448.266998,439.333008,444.566986,2612170,411.997314
2016-10-17,449.200012,449.799988,437.399994,439.399994,3040546,407.208862
2016-10-18,440.666992,442.399994,430.666992,437.833008,2633817,405.756653
2016-10-19,438.700012,446.46701,437.200012,440.399994,2737938,408.13559
2016-10-20,440.666992,443.333008,436.03299,441.433014,2323251,409.092896
2016-10-21,443.333008,447.666992,441.132996,445.5,1982922,412.861938
2016-10-24,446.333008,458.632996,444.700012,457.46701,2820890,423.95224
2016-10-25,454.066986,458.333008,448.867004,456.96701,2678036,423.488892
2016-10-26,455.600006,457.632996,447.266998,450.700012,2863302,417.680969
2016-10-27,446,453.5,443.433014,451.066986,3427899,418.021088
2016-10-28,448.666992,451,444.233002,446.03299,2816133,413.355896
2016-11-01,447.367004,453.233002,444.766998,450.766998,2260407,417.743103
2016-11-02,446.666992,446.666992,436.666992,440.100006,2099976,407.857574
2016-11-03,442.46701,442.666992,427.200012,429.367004,2864262,397.910889
2016-11-04,428.666992,432.933014,421.333008,429,2828038,397.57077
2016-11-07,432,444.333008,431.066986,440.066986,2436458,407.826965
2016-11-08,438,445.266998,436.233002,440.367004,2067807,408.105042
2016-11-09,423.333008,446,417.733002,439.96701,2850546,407.734314
2016-11-10,439,448.632996,439,443.03299,3419394,410.575684
2016-11-11,433.333008,440.333008,429.96701,433.066986,4282338,401.339813
2016-11-15,430.867004,436.53299,414.367004,429.066986,9892558,397.632843
2016-11-16,433.333008,440.700012,419.433014,422.766998,5486607,391.794434
2016-11-17,423.333008,429.200012,414.100006,423.666992,6809834,392.628479
2016-11-18,424.100006,431.166992,422.666992,428.367004,5492342,396.984131
2016-11-21,431.132996,431.666992,420.03299,422.566986,4704044,391.609039
2016-11-22,423,429.733002,422.666992,427.266998,4293664,395.964752
2016-11-23,426.666992,428.666992,416.266998,422.600006,4604724,391.639648
2016-11-24,418.733002,429.266998,417.700012,425.399994,4019364,394.234497
2016-11-25,427.333008,431.53299,423.46701,426.266998,2225804,395.038025
2016-11-28,427.333008,442.5,426.700012,434.200012,6223982,402.389832
2016-11-29,435.333008,438.433014,428,429.200012,3842187,397.756134
2016-11-30,430.333008,434,423.733002,429.299988,38419449,397.848785
2016-12-01,424.53299,426.666992,412.367004,419.266998,4824332,388.550812
2016-12-02,413.333008,416.46701,403.632996,405.433014,7376283,375.730316
2016-12-05,403.266998,411.299988,398.766998,402.799988,4083177,373.290222
2016-12-06,405.333008,410.632996,403.399994,408.632996,3386284,378.695892
2016-12-07,410.666992,422.666992,410.266998,421.433014,4013582,390.558167
2016-12-08,427.333008,427.899994,421.46701,425.367004,2674064,394.203918
2016-12-09,425.200012,425.333008,416.867004,423.100006,3235035,392.103027
2016-12-12,418.600006,421.200012,406.666992,407.899994,3199334,378.016571
2016-12-13,408.066986,420.666992,406.333008,419.100006,2343150,388.396088
2016-12-14,417.933014,422,412.100006,413.733002,2431041,383.422272
2016-12-15,413.266998,420.53299,405.600006,410.433014,4165641,380.364044
2016-12-16,406.666992,411.166992,402.666992,407.399994,3385640,377.553223
2016-12-19,412.600006,415.333008,406.733002,407.899994,2993250,378.016571
2016-12-20,409.600006,412.03299,406.100006,408.03299,2884221,378.139832
2016-12-21,407.733002,410.899994,401.600006,409.200012,3225680,379.221344
2016-12-22,409.867004,410.433014,403.933014,407.166992,1261924,377.337311
2016-12-23,406.5,410.833008,404.833008,407.266998,1273527,377.429962
2016-12-26,407.333008,407.367004,400.266998,401.5,1223034,372.085449
2016-12-27,402,411.299988,400.799988,410.367004,1663594,380.302856
2016-12-28,410.666992,413,406.899994,410.100006,3503919,380.05545
2016-12-29,410.333008,430,409.367004,426.433014,7486245,395.191833
2016-12-30,423.700012,425.632996,420,423.666992,2338173,392.628479
2017-01-02,426.666992,429.833008,424.933014,427,1690152,395.717285
2017-01-03,429.333008,438.666992,424.399994,433.700012,4736078,401.926422
2017-01-04,433.200012,440.600006,427.899994,436.96701,4178112,404.954132
2017-01-05,436.333008,449.632996,435.333008,448.46701,3720748,415.611572
2017-01-06,447.333008,454,441.03299,443.233002,2476677,410.761017
2017-01-09,442.833008,445.100006,434,435.399994,1760358,403.501923
2017-01-10,439.833008,450.666992,438.867004,440.200012,2944874,407.950256
2017-01-11,441.333008,444,436.46701,440.600006,2509358,408.320984
2017-01-12,441.333008,445.799988,438.100006,439.53299,1573640,407.332123
2017-01-13,443.266998,443.266998,434,438.433014,1778224,406.312714
2017-01-16,441.766998,447.399994,437.066986,445.399994,1966590,412.769287
2017-01-17,446.632996,448.299988,441.367004,443.299988,1318587,410.823151
2017-01-18,442.733002,442.766998,433.53299,436.96701,3159189,404.954132
2017-01-19,438.066986,451.132996,436.066986,449.266998,2726764,416.352997
2017-01-20,448,450.666992,441.333008,443.166992,2044776,410.69989
2017-01-23,441.333008,454.666992,441,451.367004,2550723,418.299133
2017-01-24,451.333008,458.799988,449.132996,454.933014,2783246,421.603882
2017-01-25,457.333008,478.867004,451.766998,474.132996,5446610,439.397247
2017-01-27,475.333008,484.53299,460.867004,469.833008,2866876,435.412292
2017-01-30,470.933014,472,463.132996,469.766998,1464312,435.351105
2017-01-31,470.333008,470.333008,451.367004,454.433014,3411826,421.140533
2017-02-01,454.700012,464.799988,448.799988,461.833008,2764353,427.998413
2017-02-02,463.333008,475.333008,462.933014,467.933014,2391231,433.65152
2017-02-03,467.333008,467.867004,459.200012,465.733002,2448210,431.61264
2017-02-06,468.933014,474.200012,466,470.233002,1816342,435.782959
2017-02-07,471.799988,481.96701,469.367004,477.766998,3418467,442.765045
2017-02-08,479.132996,484.666992,476.066986,480.333008,3502626,445.143036
2017-02-09,483.333008,486,480.700012,484.566986,2967434,449.066833
2017-02-10,488.666992,488.666992,474.666992,477.03299,3767024,442.084808
