"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2015-04-17,480.649,490.741,475.893,453.25,1649879,428.874786
2015-04-20,480.86,482.234,454.439,431.549988,1623290,408.341766
2015-04-21,455.39,460.622,445.932,424,2167749,401.197754
2015-04-22,451.269,458.455,444.505,431.899994,2239123,408.672943
2015-04-23,458.772,461.943,447.94,425.700012,1826014,402.806396
2015-04-24,451.057,455.285,446.354,426.100006,1856503,403.184875
2015-04-27,453.277,453.699,431.189,410.549988,1436392,388.4711
2015-04-28,432.985,445.879,428.23,418.899994,1770474,396.37207
2015-04-29,441.757,442.603,432.88,412.25,1243209,390.079712
2015-04-30,433.302,441.176,430.185,414.5,2477023,392.208679
2015-05-04,441.651,460.727,438.639,434.899994,1673266,411.511627
2015-05-05,461.837,472.828,459.089,442.899994,2307976,419.08136
2015-05-06,465.747,469.235,431.506,411.299988,2406511,389.180786
2015-05-07,433.091,434.359,414.385,396.399994,1879673,375.082062
2015-05-08,424.267,433.091,420.726,404.450012,1782948,382.699188
2015-05-11,429.815,438.587,428.547,412.850006,1790883,390.64743
2015-05-12,434.095,434.359,422.047,402.049988,2767740,380.428253
2015-05-13,422.1,450.846,420.62,422.799988,3622466,400.062317
2015-05-14,442.973,464.479,435.68,434.450012,2871742,411.085815
2015-05-15,459.723,466.91,452.96,435.200012,1663896,411.795471
2015-05-18,459.723,468.759,453.488,440.700012,1773860,416.999695
2015-05-19,463.951,485.774,460.78,457.350006,2093621,432.754272
2015-05-20,482.974,486.778,472.3,452.799988,2506231,428.448944
2015-05-21,479.803,480.543,468.918,448.049988,1842179,423.954407
2015-05-22,474.308,480.86,465.694,446.600006,1974399,422.582397
2015-05-25,471.771,474.308,454.651,432.450012,1781626,409.193359
2015-05-26,458.561,460.727,449.472,427.450012,2116867,404.46225
2015-05-27,448.098,453.699,441.44,421.299988,2308325,398.642975
2015-05-28,452.748,454.333,433.831,416.700012,2892388,394.290405
2015-05-29,441.229,447.623,424.319,409.350006,11854444,387.335663
2015-06-01,434.306,440.383,429.921,408.799988,1712746,386.815247
2015-06-02,434.359,436.949,423.685,402.549988,2195538,380.901337
2015-06-03,425.852,426.697,366.722,373.549988,3824773,353.460907
2015-06-04,396.525,397.37,381.57,370.75,3080609,350.811523
2015-06-05,387.859,404.662,387.859,375.75,2442876,355.542633
2015-06-08,398.427,401.069,381.835,369.299988,1994956,349.439484
2015-06-09,389.761,398.85,387.33,372.649994,2199169,352.609314
2015-06-10,395.785,403.183,391.188,374.700012,2441908,354.549103
2015-06-11,398.427,400.435,377.66,359.899994,1890236,340.545013
2015-06-12,381.518,385.534,373.856,361.950012,1913327,342.484741
2015-06-15,385.164,389.549,380.461,365.5,1759832,345.843872
2015-06-16,385.534,385.534,370.632,357.950012,2778163,338.69989
2015-06-17,380.461,387.224,376.233,361.450012,1631086,342.011658
2015-06-18,382.574,392.139,380.989,364.950012,1973760,345.323456
2015-06-19,389.285,389.391,378.77,363.5,1550088,343.951416
2015-06-22,386.009,402.02,385.745,376.950012,1856210,356.678101
2015-06-23,400.224,404.345,393.777,377.350006,1738344,357.05658
2015-06-24,398.427,400.382,386.855,368.799988,1588702,348.966339
2015-06-25,387.859,404.345,383.684,377.850006,1989762,357.529694
2015-06-26,397.898,415.6,391.822,386.75,3450622,365.95108
2015-06-29,392.297,406.3,389.074,381.549988,2289460,361.030701
2015-06-30,399.695,414.808,399.695,388.450012,2470352,367.559631
2015-07-01,410.528,418.507,409.259,390,1881109,369.026276
2015-07-02,414.279,418.612,408.044,388.149994,1258955,367.275787
2015-07-03,408.467,414.491,403.923,385.049988,1090649,364.342438
2015-07-06,400.699,413.698,395.679,390,1344438,369.026276
2015-07-07,412.324,437.213,411.954,410.950012,3691115,388.849609
2015-07-08,426.856,432.404,415.653,403.5,2913104,381.800262
2015-07-09,428.969,441.969,423.527,411.25,2817314,389.133484
2015-07-10,436.843,441.017,423.791,403.049988,2071119,381.374451
2015-07-13,427.807,443.607,427.278,414.450012,2758649,392.161407
