"Date","RELIANCE.NS.Open","RELIANCE.NS.High","RELIANCE.NS.Low","RELIANCE.NS.Close","RELIANCE.NS.Volume","RELIANCE.NS.Adjusted"
2011-09-14,460.436,469.403,455.515,412.700012,9389752,364.758911
2011-09-15,471.242,474.409,460.238,418.149994,9329418,369.575836
2011-09-16,480.859,480.859,464.453,412.825012,12256992,364.869415
2011-09-19,466.716,469.064,461.398,410.774994,5849942,363.057526
2011-09-20,465.584,483.093,461.794,425.899994,8429200,376.425537
2011-09-21,481.368,481.368,470.845,418.799988,7785642,370.15033
2011-09-22,466.122,468.356,441.259,393.174988,12479748,347.502014
2011-09-23,437.808,448.387,432.264,385.299988,17606854,340.541809
2011-09-26,435.149,435.997,422.901,379.600006,12435902,335.503967
2011-09-27,437.864,452.969,436.733,398.600006,10079128,352.296844
2011-09-28,452.431,456.137,446.407,398.600006,11444976,352.296844
2011-09-29,447.199,459.786,443.776,403.850006,14406076,356.936981
2011-09-30,454.553,465.528,448.33,404.174988,15975306,357.224213
2011-10-03,447.595,452.516,443.578,394.100006,9650518,348.319611
2011-10-04,443.521,447.368,432.914,385.799988,12001482,340.983734
2011-10-05,437.044,440.071,430.934,383.5,9479192,338.950928
2011-10-07,445.049,457.099,444.031,401.450012,9102652,354.815765
2011-10-10,454.977,470.054,454.949,414.625,6787266,366.460266
2011-10-11,472.373,475.994,465.302,413.5,7185020,365.465973
2011-10-12,469.205,481.934,467.31,424.825012,7895248,375.475464
2011-10-13,480.859,485.384,476.39,423.450012,8390704,374.260132
2011-10-14,476.333,492.003,476.05,433.450012,8170070,383.098511
2011-10-17,490.476,491.522,470.195,416.899994,10081616,368.471039
2011-10-18,466.716,467.508,458.994,409.950012,8365930,362.3284
2011-10-19,466.999,478.03,466.207,421.5,5427734,372.536682
2011-10-20,472.288,475.711,465.019,419.350006,4558742,370.636475
2011-10-21,475.202,480.406,470.167,417.875,4728350,369.332764
2011-10-24,479.727,483.122,477.21,423.25,4151788,374.083374
2011-10-25,483.687,498.368,476.418,437.975006,10394092,387.0979
2011-10-28,508.975,511.407,500.15,450,11213766,397.725983
