"Date","MINDTREE.NS.Open","MINDTREE.NS.High","MINDTREE.NS.Low","MINDTREE.NS.Close","MINDTREE.NS.Volume","MINDTREE.NS.Adjusted"
2015-05-22,748.603,779.095,745.366,725.650024,421612,678.246704
2015-05-25,776.741,784.23,754.567,715.349976,151850,668.61969
2015-05-26,767.647,769.519,750.02,710.825012,185210,664.390137
2015-05-27,758.151,777.757,751.679,724.474976,309362,677.148438
2015-05-28,773.932,778.345,754.326,724.450012,422222,677.125244
2015-05-29,775.644,789.579,765.507,724.349976,228950,677.031616
2015-06-01,770.375,778.319,751.625,708.400024,178412,662.123657
2015-06-02,752.133,775.671,743.601,704.700012,342900,658.665344
2015-06-03,758.446,758.446,735.55,698.275024,833524,652.660034
2015-06-04,747.319,752.508,738.84,693.599976,128882,648.290527
2015-06-05,735.737,742.531,730.227,686.875,161566,642.004822
2015-06-08,743.547,743.547,719.716,684.549988,159708,639.831604
2015-06-09,732.34,739.723,722.711,677.799988,137092,633.522461
2015-06-10,725.974,760.666,721.374,699.650024,487960,653.945251
2015-06-11,737.692,739.828,698.936,674.5,243078,639.579468
2015-06-12,701.836,717.127,670.198,648.625,398256,615.044312
2015-06-15,685.015,701.308,668.985,658.275024,209858,624.194641
2015-06-16,697.828,701.124,685.753,657.025024,85718,623.009155
2015-06-17,697.881,714.438,693.425,661.025024,204452,626.802246
2015-06-18,697.854,709.745,691.711,657.650024,178206,623.602051
2015-06-19,697.617,706.581,691.29,657.474976,209606,623.435913
2015-06-22,690.762,711.854,690.762,672.599976,229006,637.777832
2015-06-23,714.491,718.261,704.999,674,162850,639.105469
2015-06-24,713.41,732.366,707.952,681.575012,430126,646.288269
2015-06-25,721.425,723.455,669.776,646.900024,973670,613.408447
2015-06-26,685.489,700.465,679.056,652.674988,338986,618.884521
2015-06-29,676.525,680.19,654.537,631.875,393712,599.161316
2015-06-30,664.951,678.318,664.951,636.900024,337878,603.92627
2015-07-01,675.471,686.86,668.616,646.174988,294066,612.720947
2015-07-02,687.071,689.154,663.606,633.700012,239926,600.891907
2015-07-03,669.143,677.58,662.024,639.599976,224018,606.48645
2015-07-06,665.452,674.943,662.315,632.075012,119366,599.351013
2015-07-07,667.113,674.416,664.898,635,167308,602.124512
2015-07-08,664.925,669.67,638.955,615.875,363062,583.989685
2015-07-09,653.852,653.852,632.76,603.625,247032,572.37384
2015-07-10,640.669,648.526,631.309,601,350334,569.884888
2015-07-13,641.196,656.488,640.748,617.150024,693484,585.198608
2015-07-14,654.115,662.341,647.498,616.200012,279554,584.297791
2015-07-15,655.275,655.275,638.613,612.174988,409016,580.481201
2015-07-16,647.524,656.488,626.458,612.75,1251982,581.02655
