"Date","TCS.NS.Open","TCS.NS.High","TCS.NS.Low","TCS.NS.Close","TCS.NS.Volume","TCS.NS.Adjusted"
2008-06-23,431.924988,439.725006,421.5,429.225006,1786156,360.933838
2008-06-24,425,433.850006,411.700012,422.200012,4643588,355.026733
2008-06-25,420,442.5,415.649994,438.399994,2957098,368.649231
2008-06-26,442,449,430.200012,440.674988,3514158,370.562195
2008-06-27,440.674988,440.674988,425.575012,432.75,3130474,363.898102
2008-06-30,435.5,439,425,429.100006,1629022,360.828857
2008-07-01,432.5,436,417.524994,423.850006,2529808,356.414124
2008-07-02,425,444,420,438.25,4070556,368.52298
2008-07-03,440.5,440.5,410.274994,428.325012,2086264,360.177155
2008-07-04,434.950012,435.024994,417.75,422.25,1969792,355.068726
2008-07-07,422.5,432,416,426.125,897066,358.32724
2008-07-08,415.075012,422.5,409,415.100006,1973812,349.056335
2008-07-09,425,444.975006,425,438.375,1789274,368.628265
2008-07-10,435,444.5,426.174988,434.200012,1752184,365.117493
2008-07-11,458.5,471.5,392.700012,399.299988,2761892,335.770081
2008-07-14,400,400,380.5,383.924988,2279948,322.841309
2008-07-15,383.924988,393.225006,368.575012,375.325012,2254922,315.60965
2008-07-16,377.325012,386.825012,357.950012,364.049988,2869950,306.12851
2008-07-17,367.5,393.450012,365.024994,391.625,5175358,329.316315
2008-07-18,390,401,374.5,396.924988,4169748,333.77298
2008-07-21,399.5,407.5,391.5,406.399994,1791034,341.740479
2008-07-22,408,421.975006,403.024994,415.924988,2120582,349.750092
2008-07-23,415,435,409.450012,430.274994,2985710,361.816956
2008-07-24,437.25,437.25,396.174988,401.274994,5871168,337.430908
2008-07-25,399.600006,424.75,391,399.600006,4421268,336.022461
2008-07-28,400,408.475006,392.5,403.125,984686,338.986603
2008-07-29,403.350006,406.899994,396,404.475006,1236096,340.121826
2008-07-30,423,423,400,419.475006,2210038,352.735229
2008-07-31,420,421,410.75,416.875,2597790,353.074066
2008-08-01,412.5,428.475006,405.625,420.325012,2005862,355.996094
2008-08-04,407.5,420,405.5,407.674988,2619464,345.282043
2008-08-05,407.700012,417.5,402.625,414.850006,2384100,351.358948
2008-08-06,419.950012,434.975006,418.200012,430.274994,2504966,364.423218
2008-08-07,429.5,434.950012,422.5,426.674988,1536160,361.374176
2008-08-08,422.475006,428.5,416.700012,422.549988,1043336,357.880524
2008-08-11,426,428.899994,412.25,416.975006,1702550,353.158661
2008-08-12,417.5,421.850006,407.5,409.625,1661752,346.933624
2008-08-13,400,418.850006,400,414.149994,1848984,350.765961
2008-08-14,414.5,422.325012,405.5,416.600006,1870754,352.841156
2008-08-18,420,426.200012,417.5,420.774994,978324,356.377075
2008-08-19,422.25,425.5,417.549988,420.625,976650,356.250122
2008-08-20,421.350006,424.5,417.5,420.799988,563628,356.398193
2008-08-21,418,421,407.600006,408.924988,988258,346.34079
2008-08-22,409.5,412.375,401.75,409.5,1322642,346.827698
2008-08-25,412,417.5,408,409.100006,471122,346.488892
2008-08-26,404.975006,418.475006,404.975006,417.024994,1102502,353.201019
2008-08-27,410.049988,418,406.549988,409.225006,1065894,346.594788
2008-08-28,410,412.125,391.325012,396.174988,3290344,335.542084
2008-08-29,400,409.975006,400,406.100006,999250,343.948029
2008-09-01,407.5,410,403.5,407.475006,763716,345.112549
2008-09-02,407.475006,426.5,407.475006,424.399994,1323924,359.447296
2008-09-04,422.5,427.399994,416.174988,422.100006,1230838,357.499359
2008-09-05,425,425,412.5,419.200012,1222684,355.043152
2008-09-08,430,437.200012,421,428.350006,2585216,362.792755
2008-09-09,427.5,435.850006,420,432.399994,1407664,366.222992
2008-09-10,430.575012,435.100006,424.049988,425.450012,1531728,360.336609
2008-09-11,425.450012,434,414.5,418.350006,954488,354.323303
2008-09-12,432.5,432.5,400.475006,405.274994,1786982,343.249298
2008-09-15,390,399.5,372.5,380.299988,4275474,322.09671
2008-09-16,374.75,375.5,362.5,374.424988,2536182,317.120758
2008-09-17,374,382.325012,364,365.049988,2100434,309.180481
2008-09-18,364,374.5,335.5,360.575012,3178552,305.390564
2008-09-19,389.850006,389.850006,365.049988,383.424988,4772184,324.743347
2008-09-22,434,434,376.5,383.399994,2236472,324.72226
2008-09-23,357.674988,383.850006,357.674988,360.5,1483060,305.326843
2008-09-24,362.274994,374,345.149994,356.524994,3690362,301.960419
2008-09-25,356.549988,359.924988,335.524994,344.200012,7561316,291.521637
2008-09-26,350,350,333.100006,338.100006,2108622,286.355133
